Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
N/A
N/A
AEK Athens,31,36.0,88,4,2,,,,,,,,,0
Apollon Smyrnis,34,33.0,89,8,3,,,,,,,,,2
Aris,29,36.0,80,2,1,,,,,,,,,1
Asteras Tripoli,27,33.0,79,5,1,,,,,,,,,1
Atromitos,31,33.0,65,4,2,,,,,,,,,1
Ionikos,30,33.0,84,4,3,,,,,,,,,0
OFI Crete,31,33.0,95,3,2,,,,,,,,,2
Olympiacos,35,36.0,53,0,0,,,,,,,,,1
Panathinaikos,28,36.0,81,4,2,,,,,,,,,0
Panetolikos,29,33.0,70,0,0,,,,,,,,,1
PAOK,33,36.0,82,2,1,,,,,,,,,0
PAS Giannina,26,36.0,73,0,0,,,,,,,,,1
PAS Lamia,30,33.0,67,1,0,,,,,,,,,0
Volos NFC,28,33.0,87,5,3,,,,,,,,,1
