Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
N/A
N/A
Arda,30,36.0,100,5,4,,,,,,,,,1
Beroe,38,35.0,110,6,3,,,,,,,,,0
Botev Plovdiv,44,36.0,98,7,4,,,,,,,,,4
Botev Vratsa,32,35.0,101,6,3,,,,,,,,,2
Cherno More,31,35.0,88,2,1,,,,,,,,,1
CSKA 1948,34,35.0,96,7,3,,,,,,,,,2
CSKA Sofia,30,35.0,112,4,2,,,,,,,,,0
FC Spartak Varna,40,35.0,86,3,0,,,,,,,,,2
Levski Sofia,28,35.0,74,3,1,,,,,,,,,0
Loko Plovdiv,31,35.0,85,4,1,,,,,,,,,1
Lokomotiv Sofia,29,36.0,96,9,6,,,,,,,,,1
Ludogorets,32,35.0,81,2,1,,,,,,,,,1
PFC Hebar Pazardzhik,36,35.0,91,3,2,,,,,,,,,1
Pirin Blagoevgrad,35,35.0,112,4,3,,,,,,,,,3
Septemvri Sofia,37,35.0,91,4,2,,,,,,,,,1
Slavia Sofia,30,36.0,92,2,1,,,,,,,,,2
