Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
N/A
N/A
Cracovia,31,34.0,73,3,2,,,,,,,,,1
Górnik Zabrze,33,34.0,92,2,1,,,,,,,,,2
Jagiellonia,31,34.0,92,6,4,,,,,,,,,2
Korona Kielce,34,34.0,84,3,2,,,,,,,,,2
Lech Poznań,29,34.0,74,2,1,,,,,,,,,0
Lechia Gdańsk,28,34.0,73,1,0,,,,,,,,,5
Legia Warsaw,28,34.0,84,4,4,,,,,,,,,0
Miedź Legnica,31,34.0,103,5,4,,,,,,,,,3
Piast Gliwice,25,34.0,65,2,0,,,,,,,,,1
Pogoń Szczecin,30,34.0,69,1,0,,,,,,,,,0
Radomiak Radom,33,34.0,83,3,2,,,,,,,,,1
RKS Raków,30,34.0,79,3,1,,,,,,,,,0
Śląsk Wrocław,29,34.0,81,4,3,,,,,,,,,2
Stal Mielec,26,34.0,59,3,1,,,,,,,,,1
Warta Poznań,29,34.0,71,1,1,,,,,,,,,3
Widzew Łódź,27,34.0,50,0,0,,,,,,,,,2
Wisła Płock,33,34.0,70,4,1,,,,,,,,,2
Zagłębie Lubin,31,34.0,50,2,0,,,,,,,,,0
