Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
N/A
N/A
Čukarički,36,37.0,85,4,2,,,,,,,,,0
FK Kolubara,39,37.0,93,8,4,,,,,,,,,1
FK Mladost Novi Sad,39,37.0,87,3,2,,,,,,,,,1
Javor Ivanjica,34,37.0,109,4,3,,,,,,,,,1
Mladost Lučani,40,37.0,93,1,0,,,,,,,,,1
Napredak Kruš,30,37.0,62,5,2,,,,,,,,,0
Novi Pazar,35,37.0,94,4,3,,,,,,,,,2
Partizan,30,37.0,78,2,1,,,,,,,,,2
Radnički Kragujevac,40,37.0,99,5,3,,,,,,,,,1
Radnički Niš,42,37.0,94,10,6,,,,,,,,,2
Radnik Surdulica,36,37.0,77,2,1,,,,,,,,,0
Red Star,37,37.0,68,0,0,,,,,,,,,0
Spartak Subotic,34,37.0,89,5,1,,,,,,,,,0
TSC Bačka Top,30,37.0,105,2,0,,,,,,,,,1
Vojvodina,29,37.0,65,4,3,,,,,,,,,0
Voždovac,38,37.0,94,6,2,,,,,,,,,1
