Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
N/A
N/A
Ajax,35,34.0,44,3,0,282,347,51,612,293,316,4,3,1,1691,466,402,53.7
Almere City,29,34.0,69,3,1,488,315,51,569,328,378,3,4,1,1947,725,877,45.3
AZ Alkmaar,33,34.0,47,2,0,363,303,56,562,269,333,1,4,1,1701,419,508,45.2
Excelsior,27,34.0,51,4,1,279,273,42,547,351,373,1,2,1,1640,488,538,47.6
Feyenoord,25,34.0,35,1,0,303,352,68,657,255,344,7,1,0,1874,504,368,57.8
Fortuna Sittard,32,34.0,58,3,1,369,315,40,676,334,379,6,2,2,1778,646,554,53.8
Go Ahead Eag,23,34.0,39,3,1,283,356,56,608,264,297,4,2,1,1711,450,566,44.3
Heerenveen,26,34.0,39,4,1,320,325,49,622,288,305,5,4,2,1715,464,484,48.9
Heracles Almelo,27,34.0,70,2,0,382,325,52,587,256,379,4,5,1,1663,410,473,46.4
NEC Nijmegen,28,34.0,53,4,2,304,373,40,563,268,376,6,6,0,1670,531,535,49.8
PSV Eindhoven,29,34.0,32,1,1,280,304,67,813,285,341,6,3,2,2020,494,377,56.7
RKC Waalwijk,26,34.0,58,4,1,355,303,29,579,277,357,2,7,2,1729,531,449,54.2
Sparta R'dam,26,34.0,39,2,0,286,331,43,652,258,339,4,5,1,1606,630,581,52.0
Twente,26,34.0,51,3,1,333,365,59,762,269,323,1,6,2,1819,496,584,45.9
Utrecht,35,34.0,47,2,1,362,345,49,796,246,359,1,6,1,1670,498,488,50.5
Vitesse,31,34.0,62,5,3,400,318,50,597,302,321,0,7,1,1668,574,520,52.5
Volendam,37,34.0,58,3,2,318,257,54,539,299,367,1,1,0,1510,568,576,49.7
Zwolle,29,34.0,67,2,1,366,277,57,524,312,351,2,10,4,1591,526,540,49.3
