Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Admira,29,32.0,35,362,126,34.8,11.31,3.94,0.08,0.22,,7,8
Austria Wien,26,32.0,44,384,137,35.7,12.00,4.28,0.11,0.31,,2,2
Hartberg,30,32.0,43,361,126,34.9,11.28,3.94,0.11,0.32,,3,4
LASK,32,32.0,44,538,174,32.3,16.81,5.44,0.07,0.23,,4,5
Rapid Wien,39,32.0,48,478,158,33.1,14.94,4.94,0.10,0.29,,2,3
RB Salzburg,31,32.0,76,559,208,37.2,17.47,6.50,0.13,0.34,,6,9
Ried,26,32.0,37,332,116,34.9,10.37,3.62,0.11,0.31,,1,3
SCR Altach,32,32.0,23,285,102,35.8,8.91,3.19,0.07,0.21,,2,3
SK Austria Klagenfurt,28,32.0,41,317,114,36.0,9.91,3.56,0.11,0.32,,5,5
Sturm Graz,24,32.0,61,475,165,34.7,14.84,5.16,0.11,0.33,,7,7
Wolfsberger AC,24,32.0,46,388,128,33.0,12.12,4.00,0.11,0.33,,4,5
WSG Tirol,28,32.0,44,366,131,35.8,11.44,4.09,0.11,0.31,,3,4
