Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Aalborg,28,32.0,47,354,130,36.7,11.06,4.06,0.12,0.33,,4,4
AGF,31,32.0,31,355,112,31.5,11.09,3.50,0.08,0.26,,2,2
Brøndby,33,32.0,39,411,137,33.3,12.84,4.28,0.09,0.27,,2,2
FC Copenhagen,35,32.0,55,447,178,39.8,13.97,5.56,0.12,0.30,,1,2
Midtjylland,35,32.0,59,481,193,40.1,15.03,6.03,0.11,0.28,,5,5
Nordsjælland,33,32.0,37,397,143,36.0,12.41,4.47,0.09,0.24,,3,3
Odense,27,32.0,45,424,147,34.7,13.25,4.59,0.10,0.28,,4,6
Randers,27,32.0,34,410,150,36.6,12.81,4.69,0.07,0.20,,4,6
Silkeborg,26,32.0,54,459,173,37.7,14.34,5.41,0.11,0.30,,2,2
SønderjyskE,33,32.0,28,395,122,30.9,12.34,3.81,0.07,0.22,,1,1
Vejle BK,40,32.0,29,370,118,31.9,11.56,3.69,0.07,0.23,,2,2
Viborg,29,32.0,44,478,146,30.5,14.94,4.56,0.08,0.27,,4,6
