Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Čukarički,33,37.0,53,,,,,,,,,6,6
FK Kolubara,35,37.0,42,,,,,,,,,0,0
Metalac GM,33,37.0,41,,,,,,,,,2,2
Mladost Lučani,39,37.0,45,,,,,,,,,2,2
Napredak Kruš,35,37.0,28,,,,,,,,,2,2
Novi Pazar,38,37.0,39,,,,,,,,,3,3
Partizan,32,37.0,83,,,,,,,,,8,8
Proleter NS,37,37.0,26,,,,,,,,,1,1
Radnički Kragujevac,42,37.0,29,,,,,,,,,3,3
Radnički Niš,34,37.0,36,,,,,,,,,7,7
Radnik Surdulica,31,37.0,37,,,,,,,,,2,2
Red Star,36,37.0,95,,,,,,,,,5,6
Spartak Subotic,43,37.0,43,,,,,,,,,7,7
TSC Bačka Top,33,37.0,50,,,,,,,,,2,2
Vojvodina,29,37.0,39,,,,,,,,,6,6
Voždovac,30,37.0,47,,,,,,,,,1,1
