Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
AEK Athens,31,36.0,56,,,,,,,,,5,7
Apollon Smyrnis,34,33.0,16,,,,,,,,,1,3
Aris,29,36.0,39,,,,,,,,,7,8
Asteras Tripoli,27,33.0,33,,,,,,,,,2,2
Atromitos,31,33.0,33,,,,,,,,,4,5
Ionikos,30,33.0,43,,,,,,,,,2,2
OFI Crete,31,33.0,38,,,,,,,,,5,8
Olympiacos,35,36.0,61,,,,,,,,,6,8
Panathinaikos,28,36.0,50,,,,,,,,,8,10
Panetolikos,29,33.0,32,,,,,,,,,2,3
PAOK,33,36.0,56,,,,,,,,,13,15
PAS Giannina,26,36.0,33,,,,,,,,,6,7
PAS Lamia,30,33.0,22,,,,,,,,,3,3
Volos NFC,28,33.0,47,,,,,,,,,4,6
