Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Adana Demirspor,34,38.0,58,547,198,36.2,14.39,5.21,0.10,0.26,,6,9
Alanyaspor,32,38.0,65,518,187,36.1,13.63,4.92,0.12,0.33,,3,5
Altay,30,38.0,38,429,140,32.6,11.29,3.68,0.07,0.23,,6,8
Antalyaspor,31,38.0,52,458,169,36.9,12.05,4.45,0.10,0.28,,5,6
Başakşehir,33,38.0,54,529,193,36.5,13.92,5.08,0.09,0.26,,4,4
Beşiktaş,29,38.0,56,565,202,35.8,14.87,5.32,0.09,0.25,,6,8
Fatih Karagümrük,34,38.0,45,432,158,36.6,11.37,4.16,0.10,0.27,,3,4
Fenerbahçe,31,38.0,73,544,211,38.8,14.32,5.55,0.12,0.30,,10,12
Galatasaray,36,38.0,51,551,199,36.1,14.50,5.24,0.08,0.22,,8,12
Gaziantep FK,32,38.0,46,493,159,32.3,12.97,4.18,0.07,0.23,,10,11
Giresunspor,36,38.0,40,452,160,35.4,11.89,4.21,0.07,0.19,,9,10
Göztepe,36,38.0,39,441,154,34.9,11.61,4.05,0.07,0.21,,6,8
Hatayspor,31,38.0,55,411,155,37.7,10.82,4.08,0.12,0.33,,4,5
Kasımpaşa,32,38.0,65,535,184,34.4,14.08,4.84,0.11,0.32,,7,9
Kayserispor,38,38.0,54,382,141,36.9,10.05,3.71,0.13,0.35,,4,5
Konyaspor,27,38.0,65,546,188,34.4,14.37,4.95,0.11,0.32,,5,5
Rizespor,36,38.0,43,401,138,34.4,10.55,3.63,0.09,0.25,,8,9
Sivasspor,32,38.0,51,456,156,34.2,12.00,4.11,0.09,0.28,,8,9
Trabzonspor,31,38.0,67,549,206,37.5,14.45,5.42,0.11,0.28,,9,11
Yeni Mal'spor,42,38.0,26,388,126,32.5,10.21,3.32,0.06,0.17,,4,4
