Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG
N/A
N/A
Anderlecht,33,34.0,48,421,146,34.7,12.38,4.29,0.10,0.30,16.7,15,4,4,44.1,41.0,0.10,+3.9,+3.0
Antwerp,32,34.0,55,442,139,31.4,13.00,4.09,0.10,0.32,17.4,15,10,10,51.9,44.2,0.10,+3.1,+0.8
Cercle Brugge,27,34.0,50,448,142,31.7,13.18,4.18,0.10,0.33,17.0,23,3,6,51.6,46.6,0.11,-1.6,+0.4
Charleroi,29,34.0,45,402,143,35.6,11.82,4.21,0.10,0.29,16.2,2,3,4,44.6,41.8,0.11,+0.4,+0.2
Club Brugge,32,34.0,58,500,187,37.4,14.71,5.50,0.10,0.28,17.2,14,6,10,58.9,50.9,0.10,-0.9,+1.1
Eupen,30,34.0,39,375,119,31.7,11.03,3.50,0.09,0.27,18.4,20,7,8,40.1,33.8,0.09,-1.1,-1.8
Genk,28,34.0,77,465,180,38.7,13.68,5.29,0.15,0.38,15.8,12,8,10,63.4,56.2,0.13,+13.6,+12.8
Gent,31,34.0,62,472,166,35.2,13.88,4.88,0.12,0.34,17.6,8,5,5,55.4,51.7,0.11,+6.6,+5.3
Kortrijk,32,34.0,37,369,133,36.0,10.85,3.91,0.09,0.26,18.4,15,2,3,36.1,33.6,0.09,+0.9,+1.4
Mechelen,31,34.0,42,378,144,38.1,11.12,4.24,0.10,0.27,17.9,11,3,5,35.6,32.0,0.09,+6.4,+7.0
OH Leuven,29,34.0,56,420,154,36.7,12.35,4.53,0.10,0.29,17.9,14,12,14,54.0,43.4,0.11,+2.0,+0.6
Oostende,33,34.0,37,411,147,35.8,12.09,4.32,0.08,0.22,18.0,9,4,7,45.2,39.4,0.10,-8.2,-6.4
R.F.C. Seraing,31,34.0,26,258,66,25.6,7.59,1.94,0.08,0.30,18.7,17,6,7,25.8,20.4,0.08,+0.2,-0.4
Sint-Truiden,24,34.0,35,353,115,32.6,10.38,3.38,0.08,0.25,19.3,14,6,7,37.3,31.8,0.09,-2.3,-2.8
Standard Liège,30,34.0,53,390,132,33.8,11.47,3.88,0.12,0.34,16.8,12,8,9,51.9,45.1,0.12,+1.1,-0.1
Union SG,26,34.0,67,473,173,36.6,13.91,5.09,0.13,0.35,17.0,18,7,7,54.2,48.8,0.10,+12.8,+11.2
Westerlo,26,34.0,58,389,137,35.2,11.44,4.03,0.13,0.36,16.9,8,9,11,51.0,42.4,0.11,+7.0,+6.6
Zulte Waregem,36,34.0,49,360,129,35.8,10.59,3.79,0.12,0.33,15.8,11,6,6,45.6,41.1,0.12,+3.4,+1.9
