Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Cracovia,29,34.0,42,,,,,,,,,3,5
Górnik Zabrze,26,34.0,44,,,,,,,,,4,4
Jagiellonia,27,34.0,74,,,,,,,,,8,9
Korona Kielce,28,34.0,38,,,,,,,,,4,4
Lech Poznań,26,34.0,47,,,,,,,,,3,3
Legia Warsaw,30,34.0,49,,,,,,,,,7,9
Piast Gliwice,29,34.0,36,,,,,,,,,8,9
Pogoń Szczecin,29,34.0,55,,,,,,,,,5,7
Puszcza Niepołomice,33,34.0,39,,,,,,,,,8,8
Radomiak Radom,34,34.0,39,,,,,,,,,1,5
RKS Raków,34,34.0,50,,,,,,,,,5,8
Ruch Chorzów,37,34.0,39,,,,,,,,,5,6
Śląsk Wrocław,31,34.0,50,,,,,,,,,8,9
Stal Mielec,26,34.0,42,,,,,,,,,2,3
Warta Poznań,30,34.0,31,,,,,,,,,5,6
Widzew Łódź,29,34.0,43,,,,,,,,,4,5
Zagłębie Lubin,26,34.0,43,,,,,,,,,2,3
Łódzki KS,37,34.0,34,,,,,,,,,8,8
