Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90
N/A
N/A
Admira,29,25.0,45.7,32,352,"2,880",32.0,35,19,54,28,7,8,82,4,1.09,0.59,1.69,0.87,1.47
Austria Wien,26,24.6,48.4,32,352,"2,880",32.0,44,28,72,42,2,2,70,2,1.37,0.87,2.25,1.31,2.19
Hartberg,30,27.2,51.0,32,352,"2,880",32.0,43,27,70,40,3,4,61,0,1.34,0.84,2.19,1.25,2.09
LASK,32,25.9,56.9,32,352,"2,880",32.0,44,28,72,40,4,5,70,5,1.37,0.87,2.25,1.25,2.12
Rapid Wien,39,24.4,53.3,32,352,"2,880",32.0,48,35,83,46,2,3,71,3,1.50,1.09,2.59,1.44,2.53
RB Salzburg,31,22.7,64.6,32,352,"2,880",32.0,76,53,129,70,6,9,52,0,2.37,1.66,4.03,2.19,3.84
Ried,26,25.8,45.2,32,352,"2,880",32.0,37,31,68,36,1,3,53,4,1.16,0.97,2.12,1.13,2.09
SCR Altach,32,26.0,43.8,32,352,"2,880",32.0,23,13,36,21,2,3,83,6,0.72,0.41,1.13,0.66,1.06
SK Austria Klagenfurt,28,25.6,38.2,32,352,"2,880",32.0,41,28,69,36,5,5,66,11,1.28,0.87,2.16,1.13,2.00
Sturm Graz,24,24.9,50.8,32,352,"2,880",32.0,61,46,107,54,7,7,52,2,1.91,1.44,3.34,1.69,3.12
Wolfsberger AC,24,26.3,51.7,32,352,"2,880",32.0,46,36,82,42,4,5,57,3,1.44,1.13,2.56,1.31,2.44
WSG Tirol,28,24.8,51.1,32,352,"2,880",32.0,44,37,81,41,3,4,77,2,1.37,1.16,2.53,1.28,2.44
