Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,xG,xG Allowed,xG Difference,xG Difference/90,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 Union SG,34,24,5,5,78,27,+51,77,2.26,62.0,33.0,+29.0,+0.88,,Deniz Undav - 25,Anthony Moris,→ Play-off I 
 Club Brugge,34,21,9,4,72,37,+35,72,2.12,72.3,37.5,+34.7,+1.02,,Charles De Ketelaere - 14,Simon Mignolet,→ Play-off I 
 Anderlecht,34,18,10,6,72,36,+36,64,1.88,73.9,37.0,+37.0,+1.09,,Joshua Zirkzee - 15,Hendrik Van Crombrugge,→ Play-off I 
 Antwerp,34,19,6,9,55,38,+17,63,1.85,49.7,50.0,-0.3,-0.01,,Michael Frey - 22,Jean Butez,→ Play-off I 
,,,,,,,,,,,,,,,,,
 Gent,34,18,8,8,56,30,+26,62,1.82,62.5,37.7,+24.8,+0.73,,Tarik Tissoudali - 19,Sinan Bolat,→ Play-off II 
 Charleroi,34,15,9,10,55,46,+9,54,1.59,51.8,48.3,+3.4,+0.10,,Shamar Nicholson - 13,Hervé Koffi,→ Play-off II 
 Mechelen,34,15,7,12,57,61,-4,52,1.53,42.0,56.5,-14.5,-0.44,,Nikola Storm - 15,Gaëtan Coucke,→ Play-off II 
 Genk,34,15,6,13,66,47,+19,51,1.50,69.9,42.6,+27.4,+0.80,,Paul Onuachu - 19,Maarten Vandevoordt,→ Play-off II 
,,,,,,,,,,,,,,,,,
 Sint-Truiden,34,15,6,13,42,40,+2,51,1.50,41.3,44.4,-3.1,-0.09,,Taichi Hara - 8,Daniel Schmidt,
 Cercle Brugge,34,12,9,13,49,46,+3,45,1.32,53.7,42.4,+11.3,+0.33,,Rabbi Matondo - 9,Thomas Didillon,
 OH Leuven,34,10,11,13,47,58,-11,41,1.21,45.3,53.5,-8.2,-0.25,,Sory Kaba - 10,Rafael Romo,
 Oostende,34,10,7,17,34,61,-27,37,1.09,39.6,58.4,-18.7,-0.55,,Makhtar Gueye - 12,Guillaume Hubert,
 Kortrijk,34,9,10,15,43,48,-5,37,1.09,45.5,56.8,-11.3,-0.33,,Faïz Selemani - 13,Marko Ilić,
 Standard Liège,34,9,9,16,32,51,-19,36,1.06,39.0,51.8,-12.8,-0.38,,Denis Drăguș - 6,Arnaud Bodart,
 Eupen,34,8,8,18,37,61,-24,32,0.94,43.7,63.1,-19.5,-0.57,,Smail Prevljak - 9,Manaf Nurudeen,
 Zulte Waregem,34,8,8,18,42,69,-27,32,0.94,38.0,71.8,-33.8,-0.99,,Jelle Vossen - 17,Sammy Bossut,
 R.F.C. Seraing,34,8,4,22,30,68,-38,28,0.82,39.2,59.5,-20.3,-0.60,,Georges Mikautadze - 9,Guillaume Dietsch,→ Belgian 1/2 Relegation/Promotion Playoff 
 Beerschot,34,4,4,26,33,76,-43,16,0.47,37.2,62.1,-25.0,-0.76,,"Lawrence Shankland, Joren Dom - 5",Mike Vanhamel,Relegated
