Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90
N/A
N/A
Arda,30,25.8,,32,352,"2,880",32.0,35,0,35,29,6,6,81,2,1.09,0.00,1.09,0.91,0.91
Beroe,28,28.2,,32,352,"2,880",32.0,30,1,31,28,2,2,82,5,0.94,0.03,0.97,0.87,0.91
Botev Plovdiv,30,26.1,,31,341,"2,790",31.0,36,0,36,33,3,3,66,2,1.16,0.00,1.16,1.06,1.06
Botev Vratsa,37,24.9,,32,352,"2,880",32.0,29,0,29,26,3,3,95,7,0.91,0.00,0.91,0.81,0.81
Cherno More,31,26.7,,31,341,"2,790",31.0,35,0,35,31,4,4,79,5,1.13,0.00,1.13,1.00,1.00
CSKA 1948,41,26.7,,32,352,"2,880",32.0,50,0,50,43,7,7,85,8,1.56,0.00,1.56,1.34,1.34
CSKA Sofia,31,26.4,,31,341,"2,790",31.0,41,2,43,40,1,1,86,6,1.32,0.06,1.39,1.29,1.35
Levski Sofia,31,24.8,,31,341,"2,790",31.0,37,0,37,34,3,3,72,3,1.19,0.00,1.19,1.10,1.10
Loko Plovdiv,28,26.9,,32,352,"2,880",32.0,36,0,36,28,8,8,92,7,1.13,0.00,1.13,0.87,0.87
Lokomotiv Sofia,32,26.3,,32,352,"2,880",32.0,27,0,27,23,4,4,109,4,0.84,0.00,0.84,0.72,0.72
Ludogorets,32,27.2,,31,341,"2,790",31.0,73,0,73,67,6,6,71,1,2.35,0.00,2.35,2.16,2.16
Pirin Blagoevgrad,36,30.5,,32,352,"2,880",32.0,39,0,39,34,5,5,94,5,1.22,0.00,1.22,1.06,1.06
Slavia Sofia,36,25.0,,31,341,"2,790",31.0,35,0,35,31,4,4,87,7,1.13,0.00,1.13,1.00,1.00
Tsarsko Selo,46,28.3,,32,352,"2,880",32.0,22,0,22,20,2,2,91,6,0.69,0.00,0.69,0.62,0.62
