Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 Ludogorets,26,21,1,4,64,23,+41,64,2.46,,Pieros Sotiriou - 17,Sergio Padt,→ Championship group 
 CSKA Sofia,26,15,7,4,39,25,+14,52,2.00,,Jordy Caicedo - 16,Gustavo Busatto,→ Championship group 
 Botev Plovdiv,26,13,7,6,34,28,+6,46,1.77,,"Todor Nedelev, Marquinhos - 6",Georgi Argilashki,→ Championship group 
 Cherno More,26,12,9,5,35,18,+17,45,1.73,,Yevhenii Serdiuk - 12,Ivan Dyulgerov,→ Championship group 
 Levski Sofia,26,12,6,8,33,25,+8,42,1.62,,"Borislav Tsonev, Bilal Bari - 6",Nikolay Mihaylov,→ Championship group 
 Slavia Sofia,26,9,9,8,30,26,+4,36,1.38,,"Radoslav Kirilov, Toni Tasev - 6",Svetoslav Vutsov,→ Championship group 
,,,,,,,,,,,,,
 Loko Plovdiv,26,9,7,10,30,35,-5,34,1.31,,Dimitar Iliev - 13,Lukas Raeder,→ Europa Conference League group 
 Beroe,26,9,5,12,23,27,-4,32,1.23,,"Martin Kamburov, Alioune Fall - 5",Henadii Haniev,→ Europa Conference League group 
 CSKA 1948,26,8,6,12,36,37,-1,30,1.15,,Ivaylo Chochev - 13,Daniel Naumov,→ Europa Conference League group 
 Arda,26,7,8,11,27,34,-7,29,1.12,,Tonislav Yordanov - 9,Ivan Karadzhov,→ Europa Conference League group 
,,,,,,,,,,,,,
 Pirin Blagoevgrad,26,7,6,13,34,41,-7,27,1.04,,Stanislav Manolev - 7,Yanko Georgiev,→ Relegation group 
 Lokomotiv Sofia,26,6,7,13,22,42,-20,25,0.96,,Octávio - 9,Aleksandar Lyubenov,→ Relegation group 
 Botev Vratsa,26,5,7,14,23,48,-25,22,0.85,,Dorian Babunski - 10,Krasimir Kostov,→ Relegation group 
 Tsarsko Selo,26,3,7,16,15,36,-21,16,0.62,,Ventsislav Hristov - 6,Yanko Georgiev,→ Relegation group 
