Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90
N/A
N/A
Aalborg,28,25.9,50.6,32,352,"2,880",32.0,47,32,79,43,4,4,74,4,1.47,1.00,2.47,1.34,2.34
AGF,31,25.6,45.1,32,352,"2,880",32.0,31,19,50,29,2,2,77,1,0.97,0.59,1.56,0.91,1.50
Brøndby,33,24.4,52.1,32,352,"2,880",32.0,39,29,68,37,2,2,56,3,1.22,0.91,2.12,1.16,2.06
FC Copenhagen,35,25.2,50.9,32,352,"2,880",32.0,55,39,94,54,1,2,67,2,1.72,1.22,2.94,1.69,2.91
Midtjylland,35,25.1,49.9,32,352,"2,880",32.0,59,44,103,54,5,5,49,2,1.84,1.37,3.22,1.69,3.06
Nordsjælland,33,21.5,54.1,32,352,"2,880",32.0,37,23,60,34,3,3,57,3,1.16,0.72,1.87,1.06,1.78
Odense,27,25.4,52.0,32,352,"2,880",32.0,45,28,73,41,4,6,49,1,1.41,0.87,2.28,1.28,2.16
Randers,27,26.2,47.5,32,352,"2,880",32.0,34,25,59,30,4,6,58,2,1.06,0.78,1.84,0.94,1.72
Silkeborg,26,24.9,58.1,32,352,"2,880",32.0,54,41,95,52,2,2,30,1,1.69,1.28,2.97,1.62,2.91
SønderjyskE,33,25.4,45.1,32,352,"2,880",32.0,28,15,43,27,1,1,60,2,0.87,0.47,1.34,0.84,1.31
Vejle BK,40,25.2,45.2,32,352,"2,880",32.0,29,21,50,27,2,2,80,3,0.91,0.66,1.56,0.84,1.50
Viborg,29,24.9,49.8,32,352,"2,880",32.0,44,26,70,40,4,6,74,3,1.37,0.81,2.19,1.25,2.06
