Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 Olympiacos,26,20,5,1,47,14,+33,65,2.50,,Youssef El-Arabi - 16,Tomáš Vaclík,"→ Champions League via league finish, → Championship round "
 PAOK,26,16,5,5,50,24,+26,53,2.04,,Jasmin Kurtić - 15,Alexandros Paschalakis,"→ Europa Conference League via league finish, → Championship round "
 AEK Athens,26,14,4,8,42,28,+14,46,1.77,,Sergio Araujo - 12,Cican Stankovic,"→ Europa Conference League via league finish, → Championship round "
 Aris,26,13,6,7,28,21,+7,45,1.73,,Aboubakar Kamara - 8,Julián Cuesta,→ Championship round 
 Panathinaikos,26,13,3,10,41,21,+20,42,1.62,,Sebastián Palacios - 11,Alberto Brignoli,"→ Europa Conference League via cup win, → Championship round "
 PAS Giannina,26,11,7,8,28,24,+4,40,1.54,,Juan Perea - 10,Yuri Lodygin,→ Championship round 
,,,,,,,,,,,,,
 OFI Crete,26,9,10,7,33,32,+1,37,1.42,,Luiz Phellype - 8,Devis Epassy,→ Relegation round 
 Asteras Tripoli,26,10,5,11,27,29,-2,35,1.35,,Adrián Riera - 7,Antonis Tsiftsis,→ Relegation round 
 Panetolikos,26,9,5,12,27,39,-12,32,1.23,,Nikos Karelis - 7,Nikos Melissas,→ Relegation round 
 Volos NFC,26,8,6,12,35,42,-7,30,1.15,,Tom van Weert - 17,Boris Klaiman,→ Relegation round 
 Ionikos,26,6,8,12,26,34,-8,26,1.00,,Vassilis Mantzis - 9,Lefteris Choutesiotis,→ Relegation round 
 Atromitos,26,6,5,15,27,47,-20,23,0.88,,Efthimis Koulouris - 14,Andreas Gianniotis,→ Relegation round 
 PAS Lamia,26,4,6,16,19,37,-18,18,0.69,,Georgios Manousos - 6,Athanasios Garavelis,→ Relegation round 
 Apollon Smyrnis,26,2,7,17,9,47,-38,13,0.50,,Nikolaos Ioannidis - 5,Konstantinos Kotsaris,→ Relegation round 
