Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90
N/A
N/A
Adana Demirspor,34,27.6,48.8,38,418,"3,420",38.0,58,42,100,52,6,9,63,2,1.53,1.11,2.63,1.37,2.47
Alanyaspor,32,28.8,53.6,38,418,"3,420",38.0,65,48,113,62,3,5,71,5,1.71,1.26,2.97,1.63,2.89
Altay,30,28.4,44.1,38,418,"3,420",38.0,38,27,65,32,6,8,84,4,1.00,0.71,1.71,0.84,1.55
Antalyaspor,31,29.3,48.9,38,418,"3,420",38.0,52,33,85,47,5,6,79,1,1.37,0.87,2.24,1.24,2.11
Başakşehir,33,29.2,56.2,38,418,"3,420",38.0,54,34,88,50,4,4,73,2,1.42,0.89,2.32,1.32,2.21
Beşiktaş,29,27.2,55.5,38,418,"3,420",38.0,56,35,91,50,6,8,105,10,1.47,0.92,2.39,1.32,2.24
Fatih Karagümrük,34,29.2,52.4,38,418,"3,420",38.0,45,38,83,42,3,4,84,10,1.18,1.00,2.18,1.11,2.11
Fenerbahçe,31,26.5,55.6,38,418,"3,420",38.0,73,53,126,63,10,12,85,4,1.92,1.39,3.32,1.66,3.05
Galatasaray,36,26.7,54.9,38,418,"3,420",38.0,51,30,81,43,8,12,89,3,1.34,0.79,2.13,1.13,1.92
Gaziantep FK,32,28.3,46.4,38,418,"3,420",38.0,46,26,72,36,10,11,84,4,1.21,0.68,1.89,0.95,1.63
Giresunspor,36,26.6,47.9,38,418,"3,420",38.0,40,25,65,31,9,10,64,4,1.05,0.66,1.71,0.82,1.47
Göztepe,36,27.0,49.1,38,418,"3,420",38.0,39,25,64,33,6,8,95,8,1.03,0.66,1.68,0.87,1.53
Hatayspor,31,28.0,48.9,38,418,"3,420",38.0,55,42,97,51,4,5,89,4,1.45,1.11,2.55,1.34,2.45
Kasımpaşa,32,27.5,51.0,38,418,"3,420",38.0,65,48,113,58,7,9,97,4,1.71,1.26,2.97,1.53,2.79
Kayserispor,38,28.7,44.1,38,417,"3,420",38.0,54,41,95,50,4,5,73,3,1.42,1.08,2.50,1.32,2.39
Konyaspor,27,28.1,51.2,38,418,"3,420",38.0,65,47,112,60,5,5,76,4,1.71,1.24,2.95,1.58,2.82
Rizespor,36,28.3,48.0,38,418,"3,420",38.0,43,25,68,35,8,9,80,7,1.13,0.66,1.79,0.92,1.58
Sivasspor,32,30.3,46.5,38,418,"3,420",38.0,51,31,82,43,8,9,75,5,1.34,0.82,2.16,1.13,1.95
Trabzonspor,31,27.8,55.9,38,418,"3,420",38.0,67,41,108,58,9,11,65,4,1.76,1.08,2.84,1.53,2.61
Yeni Mal'spor,42,26.8,41.9,38,418,"3,420",38.0,26,17,43,22,4,4,76,5,0.68,0.45,1.13,0.58,1.03
