Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 RB Salzburg,32,23,8,1,67,22,+45,77,2.41,"12,742",Benjamin Šeško - 16,Philipp Köhn,→ Champions League via league finish
 Sturm Graz,32,20,6,6,57,29,+28,66,2.06,"13,002","Emanuel Emegha, Manprit Sarkaria - 9",Jörg Siebenhandl,→ Champions League via league finish
 LASK,32,14,12,6,54,38,+16,54,1.69,"9,493",Keito Nakamura - 14,Alexander Schlager,→ Europa League via league finish
 Rapid Wien,32,12,6,14,50,47,+3,42,1.31,"17,799",Guido Burgstaller - 21,Niklas Hedl,→ Europa Conference League via league finish
 Austria Wien,32,11,10,11,55,52,+3,43,1.34,"11,709",Haris Tabakovic - 17,Christian Früchtl,→ Europa Conference League via playoff win
 SK Austria Klagenfurt,32,11,5,16,45,63,-18,38,1.19,"6,084",Markus Pink - 16,Phillip Menzel,
,,,,,,,,,,,,,
 Wolfsberger AC,32,12,6,14,51,51,0,42,1.31,"3,286",Tai Baribo - 16,Hendrik Bonmann,
 SC Austria Lustenau,32,11,10,11,50,54,-4,43,1.34,"6,363",Lukas Fridrikas - 13,Domenik Schierl,
 WSG Tirol,32,10,8,14,44,53,-9,38,1.19,"3,393",Tim Prica - 8,Ferdinand Oswald,
 Hartberg,32,9,6,17,39,56,-17,33,1.03,"2,747","Donis Avdijaj, Dario Tadić - 7",Raphael Sallinger,
 SCR Altach,32,6,10,16,29,53,-24,28,0.88,"4,953",Atdhe Nuhiu - 10,Tino Casali,
 Ried,32,4,11,17,27,50,-23,23,0.72,"4,634","Seifedin Chabbi, Tin Plavotic - 4",Samuel Şahin-Radlinger,Relegated
