Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 RKS Raków,34,23,6,5,63,24,+39,75,2.21,"5,227","Ivi, Bartosz Nowak - 9",Vladen Kovačević,→ Champions League via league finish
 Legia Warsaw,34,19,9,6,57,37,+20,66,1.94,"20,977",Josué Pesqueira - 12,Kacper Tobiasz,→ Europa Conference League via cup win
 Lech Poznań,34,17,10,7,51,29,+22,61,1.79,"18,752",Mikael Ishak - 11,Filip Bednarek,→ Europa Conference League via league finish
 Pogoń Szczecin,34,17,9,8,57,46,+11,60,1.76,"14,847",Kamil Grosicki - 13,Dante Stipica,→ Europa Conference League via league finish
 Piast Gliwice,34,15,8,11,40,31,+9,53,1.56,"3,879",Kamil Wilczek - 9,František Plach,
 Górnik Zabrze,34,13,9,12,45,43,+2,48,1.41,"14,239",Szymon Włodarczyk - 9,Daniel Bielica,
 Cracovia,34,12,10,12,41,35,+6,46,1.35,"8,432",Michał Rakoczy - 7,Karol Niemczycki,
 Warta Poznań,34,12,9,13,37,35,+2,45,1.32,"2,690",Adam Zreľák - 8,Adrian Lis,
 Zagłębie Lubin,34,12,9,13,35,44,-9,45,1.32,"5,995",Kacper Chodyna - 7,Kacper Bieszczad,
 Radomiak Radom,34,12,8,14,34,41,-7,44,1.29,"3,702",Leonardo Rocha - 6,Gabriel Kobylak,
 Stal Mielec,34,11,10,13,36,40,-4,43,1.26,"5,169",Saïd Hamulic - 9,Bartosz Mrozek,
 Widzew Łódź,34,11,8,15,38,47,-9,41,1.21,"17,195",Bartłomiej Pawłowski - 10,Henrich Ravas,
 Korona Kielce,34,11,8,15,39,48,-9,41,1.21,"9,385",Jakub Łukowski - 12,Konrad Forenc,
 Jagiellonia,34,9,14,11,48,49,-1,41,1.21,"9,058",Marc Gual - 16,Zlatan Alomerović,
 Śląsk Wrocław,34,9,11,14,35,48,-13,38,1.12,"10,013",John Yeboah - 10,Rafał Leszczyński,
 Wisła Płock,34,10,7,17,41,50,-9,37,1.09,"3,916",Davo - 9,Krzysztof Kamiński,Relegated
 Lechia Gdańsk,34,8,6,20,28,56,-28,30,0.88,"7,610",Łukasz Zwoliński - 9,Dušan Kuciak,Relegated
 Miedź Legnica,34,4,11,19,33,55,-22,23,0.68,"4,365",Ángelo Henríquez - 7,Mateusz Abramowicz,Relegated
