Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90
N/A
N/A
Ajax,30,25.5,66.1,34,374,"3,060",34.0,86,66,152,81,5,5,46,1,78.8,74.8,61.5,136.3,862,2313,2.53,1.94,4.47,2.38,4.32,2.32,1.81,4.12,2.20,4.01
AZ Alkmaar,29,24.1,53.5,34,374,"3,060",34.0,65,48,113,63,2,3,51,1,55.4,53.1,44.5,97.6,671,1666,1.91,1.41,3.32,1.85,3.26,1.63,1.31,2.94,1.56,2.87
Cambuur,31,25.8,47.5,34,374,"3,060",34.0,25,16,41,24,1,2,49,4,41.2,39.6,29.2,68.8,569,1129,0.74,0.47,1.21,0.71,1.18,1.21,0.86,2.07,1.16,2.02
Emmen,30,25.9,48.8,34,374,"3,060",34.0,31,19,50,30,1,1,43,2,36.7,35.9,27.1,63.0,548,1134,0.91,0.56,1.47,0.88,1.44,1.08,0.80,1.88,1.06,1.85
Excelsior,28,23.4,41.6,34,374,"3,060",34.0,30,24,54,30,0,2,49,1,35.0,33.6,25.8,59.4,473,1094,0.88,0.71,1.59,0.88,1.59,1.03,0.76,1.79,0.99,1.75
Feyenoord,30,23.5,58.6,34,374,"3,060",34.0,77,60,137,74,3,3,47,0,65.6,63.2,50.4,113.6,973,1906,2.26,1.76,4.03,2.18,3.94,1.93,1.48,3.41,1.86,3.34
Fortuna Sittard,28,26.7,44.1,34,374,"3,060",34.0,39,22,61,32,7,7,63,3,36.3,31.1,24.3,55.4,529,1036,1.15,0.65,1.79,0.94,1.59,1.07,0.72,1.78,0.91,1.63
Go Ahead Eag,27,24.2,46.9,34,374,"3,060",34.0,45,25,70,43,2,4,51,2,45.0,41.9,31.5,73.4,475,1232,1.32,0.74,2.06,1.26,2.00,1.32,0.93,2.25,1.23,2.16
Groningen,36,23.0,46.4,34,374,"3,060",34.0,30,23,53,29,1,1,51,5,31.8,31.0,25.2,56.2,527,1062,0.88,0.68,1.56,0.85,1.53,0.94,0.74,1.68,0.91,1.65
Heerenveen,26,24.9,50.2,34,374,"3,060",34.0,43,29,72,42,1,3,51,1,44.1,41.7,29.7,71.4,632,1245,1.26,0.85,2.12,1.24,2.09,1.30,0.87,2.17,1.23,2.10
NEC Nijmegen,22,25.6,50.7,34,374,"3,060",34.0,42,32,74,38,4,5,48,3,48.2,44.3,35.3,79.6,637,1256,1.24,0.94,2.18,1.12,2.06,1.42,1.04,2.46,1.30,2.34
PSV Eindhoven,32,25.1,55.5,34,374,"3,060",34.0,87,63,150,81,6,7,47,3,81.5,76.0,61.3,137.3,787,1734,2.56,1.85,4.41,2.38,4.24,2.40,1.80,4.20,2.23,4.04
RKC Waalwijk,27,26.7,45.4,34,374,"3,060",34.0,49,38,87,45,4,4,57,2,45.4,42.4,35.2,77.6,557,1297,1.44,1.12,2.56,1.32,2.44,1.33,1.03,2.37,1.25,2.28
Sparta R'dam,30,26.3,47.9,34,374,"3,060",34.0,59,47,106,55,4,5,42,3,41.5,37.7,29.5,67.2,511,1136,1.74,1.38,3.12,1.62,3.00,1.22,0.87,2.09,1.11,1.98
Twente,26,26.1,57.8,34,374,"3,060",34.0,65,49,114,62,3,3,45,1,62.8,60.7,48.9,109.6,789,1638,1.91,1.44,3.35,1.82,3.26,1.85,1.44,3.29,1.79,3.22
Utrecht,33,26.9,49.2,34,374,"3,060",34.0,54,37,91,51,3,4,52,1,49.3,46.2,36.5,82.6,505,1234,1.59,1.09,2.68,1.50,2.59,1.45,1.07,2.52,1.36,2.43
Vitesse,30,23.4,48.8,34,374,"3,060",34.0,43,32,75,42,1,1,51,5,43.8,43.2,33.0,76.3,528,1274,1.26,0.94,2.21,1.24,2.18,1.29,0.97,2.26,1.27,2.24
Volendam,31,23.9,41.0,34,374,"3,060",34.0,41,33,74,41,0,0,41,3,42.5,42.5,33.4,75.9,514,1091,1.21,0.97,2.18,1.21,2.18,1.25,0.98,2.23,1.25,2.23
