Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90
N/A
N/A
AEK Athens,29,28.9,,36,396,"3,240",36.0,68,46,114,60,8,10,73,0,1.89,1.28,3.17,1.67,2.94
Aris,28,28.5,,36,396,"3,240",36.0,55,34,89,51,4,6,82,6,1.53,0.94,2.47,1.42,2.36
Asteras Tripoli,33,29.0,,33,363,"2,970",33.0,22,14,36,20,2,2,88,4,0.67,0.42,1.09,0.61,1.03
Atromitos,26,27.4,,33,363,"2,970",33.0,33,23,56,31,2,3,75,3,1.00,0.70,1.70,0.94,1.64
Ionikos,30,30.3,,33,363,"2,970",33.0,22,13,35,20,2,2,101,6,0.67,0.39,1.06,0.61,1.00
Levadiakos,34,26.9,,33,363,"2,970",33.0,23,13,36,20,3,4,85,3,0.70,0.39,1.09,0.61,1.00
OFI Crete,33,27.1,,33,363,"2,970",33.0,35,26,61,34,1,1,92,3,1.06,0.79,1.85,1.03,1.82
Olympiacos,42,28.5,,36,396,"3,240",36.0,69,49,118,62,7,9,66,3,1.92,1.36,3.28,1.72,3.08
Panathinaikos,27,28.9,,36,396,"3,240",36.0,45,24,69,35,10,11,70,4,1.25,0.67,1.92,0.97,1.64
Panetolikos,33,27.7,,33,363,"2,970",33.0,32,23,55,27,5,5,76,2,0.97,0.70,1.67,0.82,1.52
PAOK,30,26.3,,36,396,"3,240",36.0,54,35,89,47,7,8,77,3,1.50,0.97,2.47,1.31,2.28
PAS Giannina,34,26.4,,33,363,"2,970",33.0,32,23,55,28,4,6,75,1,0.97,0.70,1.67,0.85,1.55
PAS Lamia,37,29.3,,33,363,"2,970",33.0,23,14,37,23,0,2,84,6,0.70,0.42,1.12,0.70,1.12
Volos NFC,36,27.7,,36,396,"3,240",36.0,35,22,57,32,3,5,87,5,0.97,0.61,1.58,0.89,1.50
