Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 Midtjylland,32,19,6,7,62,43,+19,63,1.97,"9,954",Cho Gue-sung - 12,Jonas Lössl,→ Champions League via league finish
 Brøndby,32,18,8,6,60,35,+25,62,1.94,"22,190",Nicolai Vallys - 13,Patrick Pentz,→ Europa Conference League via league finish
 FC Copenhagen,32,18,5,9,64,38,+26,59,1.84,"28,072","Mohamed Elyounoussi, Orri Steinn Óskarsson - 9",Kamil Grabara,→ Europa Conference League via playoff win
 Nordsjælland,32,16,10,6,60,34,+26,58,1.81,"5,191","Marcus Ingvartsen, Andreas Schjelderup - 9",Andreas Hansen,
 AGF,32,11,11,10,42,46,-4,44,1.38,"11,136",Patrick Mortensen - 13,Bailey Peacock-Farrell,
 Silkeborg,32,10,6,16,39,50,-11,36,1.13,"5,639",Alexander Lind - 10,Nicolai Larsen,→ Europa League via cup win
,,,,,,,,,,,,,
 Randers,32,10,11,11,41,49,-8,41,1.28,"5,265",Mohammed Fuseini - 9,Patrik Carlgren,
 Viborg,32,11,7,14,38,48,-10,40,1.25,"6,398",Anosike Ementa - 8,Lucas Lund Pedersen,
 Vejle BK,32,9,9,14,32,36,-4,36,1.13,"8,178",German Onugkha - 15,Nathan Trott,
 Lyngby,32,9,9,14,39,53,-14,36,1.13,"5,742",Andri Guðjohnsen - 13,Mads Kikkenborg,
 Odense,32,8,8,16,37,48,-11,32,1.00,"9,304",Don Deedson Louicius - 8,Viljar Myhra,Relegated
 Hvidovre IF,32,4,8,20,27,61,-34,20,0.63,"3,684",Tobias Thomsen - 8,Filip Đukić,Relegated
