Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90
N/A
N/A
Arouca,31,26.2,53.7,34,374,"3,060",34.0,51,38,89,48,3,7,83,6,47.6,42.5,32.1,74.6,473,1317,1.50,1.12,2.62,1.41,2.53,1.40,0.94,2.34,1.25,2.19
Benfica,34,26.0,59.1,34,374,"3,060",34.0,76,59,135,72,4,6,67,3,77.0,72.3,59.0,131.3,807,1880,2.24,1.74,3.97,2.12,3.85,2.27,1.74,4.00,2.13,3.86
Boavista,23,26.0,48.2,34,374,"3,060",34.0,37,18,55,33,4,5,105,8,36.1,32.3,24.8,57.1,411,1008,1.09,0.53,1.62,0.97,1.50,1.06,0.73,1.79,0.95,1.68
Braga,25,27.9,56.8,34,374,"3,060",34.0,70,49,119,65,5,6,80,4,63.7,59.7,48.1,107.8,601,1678,2.06,1.44,3.50,1.91,3.35,1.87,1.41,3.29,1.76,3.17
Casa Pia,32,27.6,43.8,34,374,"3,060",34.0,37,27,64,34,3,4,76,4,29.4,26.2,19.5,45.7,472,985,1.09,0.79,1.88,1.00,1.79,0.86,0.57,1.44,0.77,1.34
Chaves,31,27.1,43.8,34,374,"3,060",34.0,30,18,48,25,5,6,103,9,34.3,29.5,22.5,52.0,414,925,0.88,0.53,1.41,0.74,1.26,1.01,0.66,1.67,0.87,1.53
Estoril,31,24.3,48.7,34,374,"3,060",34.0,49,27,76,47,2,2,77,5,39.2,37.7,26.5,64.3,570,1060,1.44,0.79,2.24,1.38,2.18,1.15,0.78,1.94,1.11,1.89
Estrela,34,27.2,47.0,34,374,"3,060",34.0,29,18,47,28,1,1,76,7,38.6,37.8,29.7,67.5,405,1057,0.85,0.53,1.38,0.82,1.35,1.13,0.87,2.01,1.11,1.98
Famalicão,27,23.4,47.1,34,374,"3,060",34.0,37,23,60,34,3,5,104,9,35.8,32.0,24.2,56.2,507,976,1.09,0.68,1.76,1.00,1.68,1.05,0.71,1.77,0.94,1.65
Farense,25,28.3,42.4,34,374,"3,060",34.0,46,26,72,41,5,7,79,6,44.3,39.1,27.6,66.7,406,944,1.35,0.76,2.12,1.21,1.97,1.30,0.81,2.11,1.15,1.96
Gil Vicente FC,31,25.3,49.3,34,374,"3,060",34.0,42,28,70,36,6,8,75,3,40.5,34.4,25.4,59.8,565,1144,1.24,0.82,2.06,1.06,1.88,1.19,0.75,1.94,1.01,1.76
Moreirense,29,26.2,46.2,34,374,"3,060",34.0,35,30,65,34,1,3,75,3,32.8,30.5,25.6,56.0,503,1054,1.03,0.88,1.91,1.00,1.88,0.97,0.75,1.72,0.90,1.65
Portimonense,31,25.0,44.7,34,374,"3,060",34.0,39,30,69,34,5,6,94,5,35.3,30.6,23.8,54.4,516,976,1.15,0.88,2.03,1.00,1.88,1.04,0.70,1.74,0.90,1.60
Porto,32,25.9,63.1,34,374,"3,060",34.0,62,46,108,57,5,8,95,10,64.5,58.0,46.8,104.8,819,1869,1.82,1.35,3.18,1.68,3.03,1.90,1.38,3.27,1.71,3.08
Rio Ave,33,27.5,48.7,34,374,"3,060",34.0,36,22,58,28,8,9,98,4,38.7,31.9,25.5,57.4,451,1085,1.06,0.65,1.71,0.82,1.47,1.14,0.75,1.89,0.94,1.69
Sporting CP,29,26.2,59.1,34,374,"3,060",34.0,93,67,160,88,5,5,80,3,72.5,69.2,55.5,124.7,719,1669,2.74,1.97,4.71,2.59,4.56,2.13,1.63,3.77,2.04,3.67
Vitória,27,26.1,48.6,34,374,"3,060",34.0,49,35,84,44,5,8,94,3,45.1,39.0,32.3,71.3,467,1361,1.44,1.03,2.47,1.29,2.32,1.33,0.95,2.28,1.15,2.10
Vizela,31,24.9,49.6,34,374,"3,060",34.0,34,25,59,32,2,4,82,5,40.6,37.4,28.8,66.2,462,1244,1.00,0.74,1.74,0.94,1.68,1.19,0.85,2.04,1.10,1.95
