player,age,max_market_value,season
Erling Haaland,24,200000000,2024_2025
Vinicius Junior,24,200000000,2024_2025
Kylian Mbappé,19,200000000,2018_2019
Neymar,25,180000000,2017_2018
Lionel Messi,30,180000000,2017_2018
Raheem Sterling,25,160000000,2019_2020
Lamine Yamal,17,150000000,2024_2025
Phil Foden,23,150000000,2023_2024
Sadio Mané,27,150000000,2019_2020
Mohamed Salah,25,150000000,2017_2018
Harry Kane,24,150000000,2017_2018
Antoine Griezmann,27,150000000,2018_2019
Eden Hazard,27,150000000,2018_2019
Bukayo Saka,22,140000000,2023_2024
Jadon Sancho,19,130000000,2019_2020
Victor Osimhen,24,120000000,2023_2024
Ousmane Dembélé,21,120000000,2018_2019
Cristiano Ronaldo,29,120000000,2014_2015
Rodrygo,23,110000000,2024_2025
Lautaro Martínez,26,110000000,2023_2024
Paulo Dybala,24,110000000,2018_2019
João Félix,19,100000000,2019_2020
Jack Grealish,26,100000000,2021_2022
Leroy Sané,22,100000000,2018_2019
Romelu Lukaku,25,100000000,2018_2019
Mauro Icardi,25,100000000,2018_2019
Julián Alvarez,23,90000000,2023_2024
Rafael Leão,24,90000000,2023_2024
Kai Havertz,19,90000000,2019_2020
Marco Asensio,22,90000000,2018_2019
Serge Gnabry,24,90000000,2019_2020
Roberto Firmino,28,90000000,2019_2020
Heung Min Son,28,90000000,2020_2021
Luis Suárez,28,90000000,2015_2016
Gareth Bale,26,90000000,2016_2017
Robert Lewandowski,29,90000000,2017_2018
Gabriel Martinelli,22,85000000,2023_2024
Khvicha Kvaratskhelia,22,85000000,2022_2023
Dušan Vlahović,22,85000000,2021_2022
Marcus Rashford,23,85000000,2020_2021
Randal Kolo Muani,24,80000000,2023_2024
Luis Díaz,27,80000000,2024_2025
Ansu Fati,17,80000000,2020_2021
Gabriel Jesus,21,80000000,2017_2018
Christopher Nkunku,24,80000000,2022_2023
Timo Werner,24,80000000,2019_2020
Sergio Agüero,29,80000000,2017_2018
Ronaldinho,27,80000000,2007_2008
Antony,22,75000000,2022_2023
Alexander Isak,24,75000000,2023_2024
Nicolas Pépé,24,75000000,2019_2020
Lorenzo Insigne,27,75000000,2018_2019
Pierre Emerick Aubameyang,28,75000000,2017_2018
Thomas Müller,26,75000000,2015_2016
Gonzalo Higuaín,28,75000000,2016_2017
Nico Williams,22,70000000,2024_2025
Darwin Núñez,23,70000000,2022_2023
Mikel Oyarzabal,23,70000000,2020_2021
Federico Chiesa,23,70000000,2021_2022
Viktor Gyökeres,26,70000000,2024_2025
Alexandre Lacazette,28,70000000,2019_2020
Alexis Sánchez,29,70000000,2017_2018
Bradley Barcola,22,65000000,2024_2025
