squad,#_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Anderlecht,2,30,30,"2,700",30,30.0,1.0,134.0,103.0,79.0,18,9,3,7,23,4,3,1,0,25.0,Belgian_Pro_League,2023_2024
Antwerp,1,30,30,"2,700",30,27.0,0.0,97.0,71.0,77.0,14,10,6,12,40,5,5,0,0,0.0,Belgian_Pro_League,2023_2024
Cercle Brugge,1,30,30,"2,700",30,34.0,1.0,123.0,90.0,72.0,14,5,11,11,36,1,0,1,0,100.0,Belgian_Pro_League,2023_2024
Charleroi,3,30,30,"2,700",30,48.0,1.0,150.0,103.0,71.0,7,8,15,8,26,5,5,0,0,0.0,Belgian_Pro_League,2023_2024
Club Brugge,2,30,30,"2,700",30,29.0,0.0,98.0,69.0,70.0,14,9,7,10,33,3,0,0,3,,Belgian_Pro_League,2023_2024
Eupen,2,30,30,"2,700",30,58.0,1.0,167.0,112.0,67.0,7,3,20,5,16,6,4,1,1,20.0,Belgian_Pro_League,2023_2024
Genk,1,30,30,"2,700",30,31.0,1.0,116.0,84.0,75.0,12,11,7,10,33,3,2,1,0,33.0,Belgian_Pro_League,2023_2024
Gent,3,30,30,"2,700",30,38.0,1.0,122.0,81.0,75.0,12,11,7,7,23,11,8,3,0,27.0,Belgian_Pro_League,2023_2024
Kortrijk,2,30,30,"2,700",30,57.0,1.0,168.0,115.0,66.0,6,6,18,5,16,2,1,0,1,0.0,Belgian_Pro_League,2023_2024
Mechelen,1,30,30,"2,700",30,34.0,1.0,124.0,90.0,73.0,13,6,11,10,33,4,1,1,2,50.0,Belgian_Pro_League,2023_2024
OH Leuven,3,30,30,"2,700",30,47.0,1.0,149.0,103.0,73.0,7,8,15,7,23,8,7,1,0,12.0,Belgian_Pro_League,2023_2024
RWD Molenbeek,2,30,30,"2,696",30,67.0,2.0,178.0,110.0,69.0,5,8,17,4,13,15,12,3,0,20.0,Belgian_Pro_League,2023_2024
Sint-Truiden,3,30,30,"2,700",30,46.0,1.0,126.0,80.0,67.0,10,10,10,7,23,5,5,0,0,0.0,Belgian_Pro_League,2023_2024
