squad,#_of_players,90s_played,goals,shots_total,shots_on_target,shots_on_target_%,shots_total/90,shots_on_target/90,goals/shot,goals/shot_on_target,average_shot_distance,penalty_kicks_made,penalty_kicks_attempted,league,season,shots_from_free_kicks,xg:_expected_goals,npxg:_non-penalty_xg,npxg/shot,goals_-_xg,non-penalty_goals_-_npxg
Arda,28,36,38,,,,,,,,,3,3,Bulgarian_First_League,2023_2024,,,,,,
Beroe,40,35,29,,,,,,,,,3,3,Bulgarian_First_League,2023_2024,,,,,,
Botev Plovdiv,46,36,50,,,,,,,,,5,5,Bulgarian_First_League,2023_2024,,,,,,
Botev Vratsa,31,35,26,,,,,,,,,4,4,Bulgarian_First_League,2023_2024,,,,,,
Cherno More,29,35,55,,,,,,,,,6,6,Bulgarian_First_League,2023_2024,,,,,,
CSKA 1948,41,36,35,,,,,,,,,5,5,Bulgarian_First_League,2023_2024,,,,,,
CSKA Sofia,34,35,55,,,,,,,,,1,1,Bulgarian_First_League,2023_2024,,,,,,
Etar,41,35,21,,,,,,,,,3,3,Bulgarian_First_League,2023_2024,,,,,,
FK Levski 2005,32,35,44,,,,,,,,,3,3,Bulgarian_First_League,2023_2024,,,,,,
Levski Sofia,32,35,50,,,,,,,,,2,2,Bulgarian_First_League,2023_2024,,,,,,
Loko Plovdiv,33,35,52,,,,,,,,,6,6,Bulgarian_First_League,2023_2024,,,,,,
Lokomotiv Sofia,29,35,28,,,,,,,,,4,4,Bulgarian_First_League,2023_2024,,,,,,
Ludogorets,44,35,84,,,,,,,,,5,5,Bulgarian_First_League,2023_2024,,,,,,
PFC Hebar Pazardzhik,28,35,35,,,,,,,,,1,1,Bulgarian_First_League,2023_2024,,,,,,
Pirin Blagoevgrad,35,35,25,,,,,,,,,2,2,Bulgarian_First_League,2023_2024,,,,,,
Slavia Sofia,34,36,34,,,,,,,,,4,4,Bulgarian_First_League,2023_2024,,,,,,
Ajax,30,34,86,625.0,220.0,35.0,18.0,6.0,0.0,0.0,15.0,5,5,Eredivisie,2022_2023,12.0,78.0,74.0,0.0,7.0,6.0
AZ Alkmaar,29,34,65,508.0,195.0,38.0,14.0,5.0,0.0,0.0,17.0,2,3,Eredivisie,2022_2023,15.0,55.0,53.0,0.0,9.0,9.0
Cambuur,31,34,25,383.0,124.0,32.0,11.0,3.0,0.0,0.0,18.0,1,2,Eredivisie,2022_2023,13.0,41.0,39.0,0.0,-16.0,-15.0
Emmen,30,34,31,374.0,128.0,34.0,11.0,3.0,0.0,0.0,18.0,1,1,Eredivisie,2022_2023,16.0,36.0,35.0,0.0,-5.0,-5.0
Excelsior,28,34,30,343.0,104.0,30.0,10.0,3.0,0.0,0.0,16.0,0,2,Eredivisie,2022_2023,10.0,35.0,33.0,0.0,-5.0,-3.0
Feyenoord,30,34,77,677.0,247.0,36.0,19.0,7.0,0.0,0.0,17.0,3,3,Eredivisie,2022_2023,31.0,65.0,63.0,0.0,11.0,10.0
Fortuna Sittard,28,34,39,382.0,116.0,30.0,11.0,3.0,0.0,0.0,18.0,7,7,Eredivisie,2022_2023,17.0,36.0,31.0,0.0,2.0,0.0
Go Ahead Eag,27,34,45,426.0,133.0,31.0,12.0,3.0,0.0,0.0,16.0,2,4,Eredivisie,2022_2023,10.0,45.0,41.0,0.0,0.0,1.0
Groningen,36,34,30,377.0,101.0,26.0,11.0,2.0,0.0,0.0,19.0,1,1,Eredivisie,2022_2023,22.0,31.0,31.0,0.0,-1.0,-2.0
Heerenveen,26,34,43,445.0,149.0,33.0,13.0,4.0,0.0,0.0,18.0,1,3,Eredivisie,2022_2023,22.0,44.0,41.0,0.0,-1.0,0.0
NEC Nijmegen,22,34,42,461.0,150.0,32.0,13.0,4.0,0.0,0.0,18.0,4,5,Eredivisie,2022_2023,30.0,48.0,44.0,0.0,-6.0,-6.0
PSV Eindhoven,32,34,87,612.0,235.0,38.0,18.0,6.0,0.0,0.0,16.0,6,7,Eredivisie,2022_2023,11.0,81.0,76.0,0.0,5.0,5.0
