squad,country,season,uefa_rating,confederation,overall_uefa_rating,uefa_season_ranking,overall_uefa_club_rank
Manchester City,England,2021_2022,27,UEFA,88,4,2
Real Madrid,Spain,2021_2022,30,UEFA,93,2,1
Bayern Munich,Germany,2021_2022,26,UEFA,81,5,3
Liverpool,England,2021_2022,33,UEFA,72,1,5
Roma,Italy,2021_2022,23,UEFA,66,9,8
Paris S-G,France,2021_2022,19,UEFA,61,15,10
Dortmund,Germany,2021_2022,10,UEFA,57,38,12
Inter,Italy,2021_2022,18,UEFA,67,17,7
Villarreal,Spain,2021_2022,24,UEFA,52,7,14
Chelsea,England,2021_2022,25,UEFA,46,6,22
Leverkusen,Germany,2021_2022,14,UEFA,62,29,9
Benfica,Portugal,2021_2022,20,UEFA,59,13,11
RB Leipzig,Germany,2021_2022,17,UEFA,53,19,13
Atlético Madrid,Spain,2021_2022,19,UEFA,51,15,15
Porto,Portugal,2021_2022,10,UEFA,47,38,19
Manchester Utd,England,2021_2022,18,UEFA,44,17,24
Barcelona,Spain,2021_2022,15,UEFA,47,26,19
West Ham,England,2021_2022,21,UEFA,69,11,6
Arsenal,England,2021_2022,-1,UEFA,39,-1,30
Atalanta,Italy,2021_2022,16,UEFA,44,22,24
Juventus,Italy,2021_2022,20,UEFA,37,13,33
Milan,Italy,2021_2022,7,UEFA,47,47,19
Club Brugge,Belgium,2021_2022,7,UEFA,45,47,23
Napoli,Italy,2021_2022,9,UEFA,51,41,15
Feyenoord,Netherlands,2021_2022,24,UEFA,49,7,18
Sevilla,Spain,2021_2022,12,UEFA,39,35,30
Ajax,Netherlands,2021_2022,22,UEFA,35,10,35
Eint Frankfurt,Germany,2021_2022,28,UEFA,51,3,15
Real Sociedad,Spain,2021_2022,9,UEFA,43,41,26
PSV Eindhoven,Netherlands,2021_2022,10,UEFA,38,38,32
Lazio,Italy,2021_2022,9,UEFA,33,41,37
Sporting CP,Portugal,2021_2022,16,UEFA,42,22,27
Marseille,France,2021_2022,16,UEFA,42,22,27
Lille,France,2021_2022,17,UEFA,34,19,36
RB Salzburg,Austria,2021_2022,17,UEFA,33,19,37
AZ Alkmaar,Netherlands,2021_2022,13,UEFA,36,31,34
Fiorentina,Italy,2021_2022,-1,UEFA,42,-1,27
Braga,Portugal,2021_2022,16,UEFA,30,22,41
Tottenham,England,2021_2022,5,UEFA,23,52,47
