Competition Name,Gender,Country,Champion,Top Scorer
Isuzu UTE A-League,M,AUS,Central Coast Mariners FC,Adam Taggart - 20
Admiral Bundesliga,M,AUT,SK Sturm Graz,Karim Konaté - 20
Jupiler Pro League,M,BEL,Club Brugge KV,Kévin Denkey - 23
efbet League,M,BUL,PFC Ludogorets Razgrad,Aleksandar Kolev - 15
SuperSport HNL,M,CRO,GNK Dinamo Zagreb,Ramón Mierez - 18
Fortuna:Liga,M,CZE,,Václav Jurečka - 19
3F Superliga,M,DEN,FC Midtjylland,German Onugkha - 15
Premier League,M,ENG,Manchester City FC,Erling Haaland - 27
LaLiga EA Sports,M,ESP,Real Madrid CF,Artem Dovbyk - 24
Ligue 1 Uber Eats,M,FRA,Paris Saint-Germain FC,Kylian Mbappé - 27
Fußball-Bundesliga,M,GER,Bayer 04 Leverkusen,Harry Kane - 36
Stoiximan Super League,M,GRE,PAOK FC,Loren Morón - 20
OTP Bank Liga,M,HUN,Ferencvárosi TC,Barnabás Varga - 20
Indian Super League,M,IND,Mumbai City FC,Dimitris Diamantakos - 13
Persian Gulf Pro League,M,IRN,Persepolis FC,Shahriar Moghanlou - 16
Serie A TIM; Serie A Made in Italy,M,ITA,Internazionale,Lautaro Martínez - 24
Roshn Saudi League,M,KSA,Al-Hilal Saudi FC,Cristiano Ronaldo - 35
Liga BBVA MX,M,MEX,"América (T), América (T)",Guillermo Martínez Ayala - 16
Eredivisie,M,NED,PSV Eindhoven,"Vangelis Pavlidis, Luuk de Jong - 29"
PKO Bank Polski Ekstraklasa,M,POL,Jagiellonia Białystok,Erik Expósito - 19
Liga Portugal Betclic,M,POR,Sporting CP,Viktor Gyökeres - 29
SuperLiga,M,ROU,FCSB,"Florinel Coman, Philip Otele - 18"
DStv Premiership,M,RSA,Mamelodi Sundowns FC,Tshegofatso Mabaso - 16
Mir Russian Premier League,M,RUS,FC Zenit Saint Petersburg,Mateo Cassierra - 21
cinch Premiership,M,SCO,Celtic FC,Lawrence Shankland - 24
Mozzart Bet SuperLiga,M,SRB,Red Star Belgrade,"Milos Lukovic, Saldanha - 17"
Credit Suisse Super League,M,SUI,BSC Young Boys,"Žan Celar, Kevin Carlos... - 14"
Trendyol Süper Lig,M,TUR,Galatasaray SK,Mauro Icardi - 25
VBet Liha,M,UKR,FC Shakhtar Donetsk,Vladyslav Vanat - 14
