Competition Name,Gender,Country,Champion,Top Scorer
EFL Cup,M,ENG,Liverpool FC,Morgan Rogers - 5
FA Community Shield,M,ENG,Arsenal FC,"Leandro Trossard, Cole Palmer - 1"
The Emirates FA Cup,M,ENG,Manchester United FC,"Sammie Szmodics, Ellis Simms - 6"
Copa del Rey,M,ESP,Athletic Club,"Abdón Prats, Asier Villalibre... - 6"
Supercopa de España,M,ESP,Real Madrid CF,Vinicius Júnior - 3
Coupe de France,M,FRA,Paris Saint-Germain FC,Kylian Mbappé - 8
Trophée des Champions,M,FRA,Paris Saint-Germain FC,"Kylian Mbappé, Lee Kang-in - 1"
DFB-Pokal,M,GER,Bayer 04 Leverkusen,Amine Adli - 5
DFL-Supercup,M,GER,RB Leipzig,Dani Olmo - 3
Coppa Italia Frecciarossa,M,ITA,Juventus FC,Arkadiusz Milik - 4
EA Sports FC Supercup,M,ITA,Internazionale,Alessio Zerbin - 2
