nation_rank,nation_prev_rank,nation,confederation,points
1,5,Brazil,CONMEBOL,1838
2,6,Belgium,UEFA,1822
3,1,Argentina,CONMEBOL,1771
4,2,France,UEFA,1765
5,4,England,UEFA,1737
6,3,Spain,UEFA,1717
7,10,Italy,UEFA,1714
8,7,Netherlands,UEFA,1679
9,8,Portugal,UEFA,1679
10,21,Denmark,UEFA,1665
11,13,Germany,UEFA,1659
12,17,Mexico,CONCACAF,1650
13,11,Uruguay,CONMEBOL,1641
14,16,United States,CONCACAF,1635
15,12,Croatia,UEFA,1632
16,15,Switzerland,UEFA,1621
17,9,Colombia,CONMEBOL,1604
18,19,Senegal,CAF,1585
19,30,Wales,UEFA,1582
20,29,Sweden,UEFA,1563
21,42,Peru,CONMEBOL,1562
22,20,Iran,AFC,1559
23,14,Morocco,CAF,1558
24,18,Japan,AFC,1555
25,32,Serbia,UEFA,1550
1,1,Argentina,CONMEBOL,1851
2,2,France,UEFA,1841
3,5,Brazil,CONMEBOL,1838
4,4,England,UEFA,1794
5,6,Belgium,UEFA,1793
6,12,Croatia,UEFA,1748
7,7,Netherlands,UEFA,1743
8,8,Portugal,UEFA,1729
9,10,Italy,UEFA,1727
10,3,Spain,UEFA,1711
11,16,United States,CONCACAF,1679
12,17,Mexico,CONCACAF,1661
13,14,Morocco,CAF,1658
14,15,Switzerland,UEFA,1654
15,13,Germany,UEFA,1638
16,9,Colombia,CONMEBOL,1630
17,11,Uruguay,CONMEBOL,1627
18,21,Denmark,UEFA,1607
19,18,Japan,AFC,1605
20,19,Senegal,CAF,1597
21,20,Iran,AFC,1561
22,42,Peru,CONMEBOL,1552
23,29,Sweden,UEFA,1539
24,25,Ukraine,UEFA,1538
25,22,Austria,UEFA,1537
1,1,Argentina,28,1889
2,2,France,23,1852
3,3,Spain,25,1836
4,4,England,27,1817
5,5,Brazil,23,1772
6,6,Belgium,21,1768
7,7,Netherlands,23,1760
8,8,Portugal,25,1752
9,9,Colombia,27,1739
10,10,Italy,23,1726
11,11,Uruguay,26,1701
12,12,Croatia,25,1700
13,13,Germany,23,1692
14,14,Morocco,26,1676
15,15,Switzerland,23,1641
16,18,Japan,27,1640
17,17,Mexico,26,1636
18,16,United States,24,1632
19,20,Iran,26,1623
20,21,Denmark,25,1622
21,19,Senegal,23,1621
22,22,Austria,25,1580
23,23,South Korea,26,1573
24,25,Ukraine,25,1548
25,24,Australia,25,1544
