Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches


Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,64,44,49,15,0,37,55,67.3,18,39,19,20,28,92,96,1,Matches
Che Adams,sct SCO,FW,Southampton,25,1996,22.7,13,6,5,5,3,2,16,12.5,14,18,2,16,8,21,18,0,Matches
Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,20,2001,20.3,64,36,46,15,3,22,44,50.0,22,24,2,22,22,86,39,1,Matches
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,29,18,21,6,2,13,21,61.9,8,19,11,8,26,55,74,0,Matches
Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,16,9,7,8,1,6,8,75.0,2,7,5,2,8,24,23,0,Matches
Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,12.6,31,19,16,9,6,10,47,21.3,37,15,3,12,14,45,20,0,Matches
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,48,29,14,24,10,10,42,23.8,32,22,2,20,26,74,13,2,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,40,23,19,13,8,27,60,45.0,33,22,4,18,43,83,40,0,Matches
Alisson,br BRA,GK,Liverpool,28,1992,36.0,3,1,3,0,0,3,5,60.0,2,1,0,1,0,3,28,1,Matches
Allan,br BRA,MF,Everton,30,1991,24.3,74,44,28,39,7,34,105,32.4,71,40,9,31,23,97,39,1,Matches
Dele Alli,eng ENG,MF,Tottenham,25,1996,7.3,14,8,10,3,1,5,17,29.4,12,22,5,17,6,20,16,0,Matches
Dele Alli,eng ENG,"MF,FW",Everton,25,1996,3.8,7,2,3,4,0,0,4,0.0,4,7,2,5,6,13,10,0,Matches
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27,1994,19.1,47,29,23,17,7,11,44,25.0,33,14,1,13,20,67,13,0,Matches
Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,41,29,20,12,9,17,36,47.2,19,29,5,24,43,84,53,0,Matches
Steven Alzate,co COL,MF,Brighton,22,1998,4.5,10,4,4,5,1,4,7,57.1,3,2,1,1,10,20,10,0,Matches
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,26,13,19,7,0,19,29,65.5,10,30,22,8,21,47,93,4,Matches
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,30,23,21,9,0,16,27,59.3,11,29,19,10,37,67,125,3,Matches
Michail Antonio,jm JAM,FW,West Ham,31,1990,33.0,23,17,5,9,9,7,18,38.9,11,19,1,18,3,26,13,0,Matches
Cameron Archer,eng ENG,"FW,MF",Aston Villa,20,2001,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
