Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches


Rodrigo Abascal,uy URU,DF,Boavista,28,1994,25.5,46,28,28,18,0,30,52,57.7,22,29,10,19,36,82,98,1,Matches
Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,27,1995,17.9,38,17,12,19,7,18,43,41.9,25,19,7,12,12,50,9,0,Matches
Elias Achouri,tn TUN,MF,Estoril,23,1999,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Antonio Adán,es ESP,GK,Sporting CP,35,1987,31.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,11,0,Matches
Adriano,br BRA,"MF,DF",Santa Clara,22,1999,24.5,50,31,19,30,1,31,50,62.0,19,34,13,21,26,76,52,0,Matches
João Afonso Crispim,br BRA,MF,Marítimo,27,1995,16.3,43,24,16,24,3,20,47,42.6,27,16,10,6,36,79,37,3,Matches
Lucas Áfrico,br BRA,DF,Estoril,27,1995,3.9,2,1,2,0,0,1,1,100.0,0,3,2,1,3,5,9,0,Matches
Martin Agirregabiria,es ESP,"DF,FW",Famalicão,26,1996,4.5,4,4,2,2,0,3,4,75.0,1,3,1,2,10,14,9,0,Matches
Salvador Agra,pt POR,"FW,MF",Boavista,30,1991,18.3,27,20,10,13,4,12,23,52.2,11,5,1,4,6,33,6,0,Matches
Mohamed Aidara,ci CIV,"DF,FW",Vizela,25,1996,2.7,3,1,3,0,0,3,3,100.0,0,2,2,0,2,5,8,0,Matches
Alemão,br BRA,DF,Portimonense,19,2002,4.0,11,9,7,4,0,5,10,50.0,5,6,4,2,6,17,24,0,Matches
Sotiris Alexandropoulos,gr GRE,MF,Sporting CP,20,2001,1.2,6,5,2,3,1,3,6,50.0,3,1,0,1,2,8,1,0,Matches
Ali Alipour,ir IRN,"FW,MF",Gil Vicente FC,26,1995,5.9,6,3,1,4,1,5,9,55.6,4,7,0,7,1,7,2,1,Matches
Allano,br BRA,"FW,MF",Santa Clara,27,1995,12.6,16,13,11,5,0,8,29,27.6,21,22,4,18,7,23,12,0,Matches
Domingos André Ribeiro Almeida,pt POR,MF,Vitória,22,2000,2.6,4,2,3,0,1,2,3,66.7,1,6,0,6,4,8,4,0,Matches
Jordi Almeida,br BRA,GK,Paços,28,1993,6.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,4,2,Matches
Alejandro Alvarado Jr.,us USA,"FW,MF",Vizela,19,2003,0.8,2,0,1,1,0,0,2,0.0,2,3,1,2,0,2,1,0,Matches
Pedro Álvaro,pt POR,DF,Estoril,22,2000,28.6,23,12,15,7,1,14,19,73.7,5,31,23,8,34,57,119,1,Matches
Pedro Amaral,pt POR,DF,Rio Ave,24,1997,11.0,17,9,12,5,0,12,21,57.1,9,10,3,7,10,27,18,0,Matches
André Amaro,pt POR,DF,Vitória,19,2002,26.2,47,30,36,10,1,30,46,65.2,16,32,13,19,48,95,103,0,Matches
