Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches


James Abankwah,ie IRL,DF,Udinese,18,2004,0.7,1,1,0,1,0,0,0,,0,4,2,2,0,1,5,0,Matches
Oliver Abildgaard,dk DEN,MF,Hellas Verona,26,1996,6.6,10,6,6,3,1,7,16,43.8,9,7,1,6,5,15,17,0,Matches
Tammy Abraham,eng ENG,FW,Roma,24,1997,24.3,17,10,4,8,5,3,16,18.8,13,10,4,6,3,20,14,0,Matches
Christian Acella,it ITA,MF,Cremonese,20,2002,0.2,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,Matches
Francesco Acerbi,it ITA,DF,Inter,34,1988,26.9,33,19,22,7,4,20,27,74.1,7,25,18,7,41,74,85,2,Matches
Yacine Adli,fr FRA,"MF,FW",Milan,22,2000,1.6,6,3,2,4,0,2,2,100.0,0,2,0,2,1,7,1,0,Matches
Michel Aebischer,ch SUI,"FW,MF",Bologna,25,1997,17.1,12,6,3,6,3,2,18,11.1,16,14,2,12,7,19,9,0,Matches
Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,19,2003,9.1,7,3,4,1,2,2,10,20.0,8,5,1,4,1,8,6,0,Matches
Kevin Agudelo,co COL,"MF,FW",Spezia,23,1998,23.7,71,38,22,30,19,25,59,42.4,34,39,5,34,10,81,6,0,Matches
Ola Aina,ng NGA,DF,Torino,25,1996,9.7,17,13,5,8,4,9,15,60.0,6,12,2,10,11,28,26,0,Matches
Emanuel Aiwum,at AUT,DF,Cremonese,21,2000,18.4,55,34,36,17,2,33,47,70.2,14,28,16,12,25,80,52,3,Matches
Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,29,1992,15.1,53,37,25,19,9,23,42,54.8,19,35,4,31,13,66,27,0,Matches
Luis Alberto,es ESP,MF,Lazio,29,1992,27.1,49,29,18,20,11,23,72,31.9,49,35,6,29,9,58,4,0,Matches
Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,21,2001,4.1,6,3,0,5,1,1,4,25.0,3,5,1,4,3,9,3,0,Matches
Kelvin Amian,fr FRA,DF,Spezia,24,1998,26.4,54,32,33,12,9,24,31,77.4,7,34,12,22,22,76,87,1,Matches
Bruno Amione,ar ARG,DF,Hellas Verona,20,2002,0.6,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,4,0,Matches
Bruno Amione,ar ARG,DF,Sampdoria,20,2002,23.2,50,33,36,14,0,19,43,44.2,24,26,11,15,25,75,62,1,Matches
Ethan Ampadu,wls WAL,"DF,MF",Spezia,21,2000,29.3,66,37,33,28,5,17,41,41.5,24,48,23,25,36,102,98,0,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,25,1996,22.2,39,24,15,17,7,16,29,55.2,13,23,5,18,21,60,18,2,Matches
Felipe Anderson,br BRA,FW,Lazio,29,1993,32.9,80,50,31,41,8,31,88,35.2,57,58,6,52,31,111,27,0,Matches
