Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Tino Casali,at AUT,GK,SCR Altach,25,1995,30,30,"2,695",29.9,48,1.60,134,95,68.7,7,6,17,6,20.0,9,6,3,0,33.3,Matches
Florian Faist,at AUT,GK,Hartberg,32,1989,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
Paul Gartler,at AUT,GK,Rapid Wien,24,1997,17,16,"1,468",16.3,26,1.59,69,44,63.8,4,6,6,2,12.5,1,1,0,0,0.0,Matches
Christoph Haas,at AUT,GK,Ried,29,1992,2,1,95,1.1,3,2.84,7,6,85.7,0,0,1,0,0.0,2,2,0,0,0.0,Matches
Niklas Hedl,at AUT,GK,Rapid Wien,20,2001,10,10,889,9.9,11,1.11,42,33,81.0,4,4,2,2,20.0,3,3,0,0,0.0,Matches
Martin Kobras,at AUT,GK,SCR Altach,35,1986,3,2,185,2.1,1,0.49,7,6,85.7,0,2,0,1,50.0,0,0,0,0,,Matches
Alexander Kofler,at AUT,GK,Wolfsberger AC,34,1986,28,28,"2,520",28.0,43,1.54,148,105,70.9,14,3,11,7,25.0,1,0,0,1,,Matches
Philipp Köhn,ch SUI,GK,RB Salzburg,23,1998,28,28,"2,520",28.0,17,0.61,54,38,70.4,22,4,2,14,50.0,1,1,0,0,0.0,Matches
Manuel Kuttin,at AUT,GK,Wolfsberger AC,27,1993,4,4,360,4.0,10,2.50,24,14,58.3,0,2,2,0,0.0,0,0,0,0,,Matches
Andreas Leitner,at AUT,GK,Admira,27,1994,32,32,"2,880",32.0,46,1.44,132,92,68.9,6,13,13,6,18.8,6,5,1,0,16.7,Matches
Nico Mantl,de GER,GK,RB Salzburg,21,2000,3,3,270,3.0,2,0.67,9,7,77.8,2,1,0,1,33.3,0,0,0,0,,Matches
Phillip Menzel,de GER,GK,SK Austria Klagenfurt,22,1998,28,28,"2,479",27.5,52,1.89,149,102,67.8,7,11,10,4,14.3,5,4,1,0,20.0,Matches
Lennart Moser,de GER,GK,SK Austria Klagenfurt,21,1999,5,4,397,4.4,5,1.13,22,18,81.8,1,1,2,1,25.0,1,1,0,0,0.0,Matches
Ferdinand Oswald,de GER,GK,WSG Tirol,30,1990,23,23,"2,013",22.4,44,1.97,117,76,65.0,8,6,9,6,26.1,3,3,0,0,0.0,Matches
Benjamin Ozegovic,at AUT,GK,WSG Tirol,21,1999,11,9,866,9.6,14,1.45,41,29,70.7,2,4,3,2,22.2,2,2,0,0,0.0,Matches
Patrick Pentz,at AUT,GK,Austria Wien,24,1997,32,32,"2,880",32.0,39,1.22,116,83,70.7,11,13,8,6,18.8,6,5,1,0,16.7,Matches
Samuel Şahin-Radlinger,at AUT,GK,Ried,28,1992,31,31,"2,780",30.9,51,1.65,136,89,64.7,8,13,10,4,12.9,4,3,1,0,25.0,Matches
Raphael Sallinger,at AUT,GK,Hartberg,25,1995,5,4,441,4.9,9,1.84,20,12,60.0,0,2,2,0,0.0,1,1,0,0,0.0,Matches
Alexander Schlager,at AUT,GK,LASK,25,1996,32,32,"2,880",32.0,42,1.31,128,90,68.8,9,12,11,8,25.0,5,2,2,1,50.0,Matches
Jörg Siebenhandl,at AUT,GK,Sturm Graz,31,1990,32,32,"2,880",32.0,46,1.44,106,62,58.5,16,8,8,8,25.0,2,2,0,0,0.0,Matches
Richard Strebinger,at AUT,GK,Rapid Wien,28,1993,6,6,512,5.7,7,1.23,23,18,78.3,2,1,3,2,33.3,2,2,0,0,0.0,Matches
René Swete,at AUT,GK,Hartberg,31,1990,27,27,"2,349",26.1,37,1.42,116,79,69.8,7,9,11,6,22.2,3,2,0,1,0.0,Matches
Bernhard Unger,at AUT,GK,Rapid Wien,22,1999,1,0,8,0.1,1,11.25,1,1,100.0,0,0,0,0,,1,1,0,0,0.0,Matches
Alexander Walke,de GER,GK,RB Salzburg,38,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
