Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Zlatan Alomerović,de GER,GK,Lechia Gdańsk,30,1991,6,6,540,6.0,,,,,,3,3,0,3,50.0,0,0,0,0,,Matches
Zlatan Alomerović,de GER,GK,Jagiellonia,30,1991,14,14,"1,260",14.0,,,,,,3,7,4,3,21.4,2,2,0,0,0.0,Matches
Filip Bednarek,pl POL,GK,Lech Poznań,28,1992,20,18,"1,722",19.1,,,,,,10,4,4,9,50.0,2,2,0,0,0.0,Matches
Mikołaj Biegański,pl POL,GK,Wisła Kraków,19,2002,19,19,"1,710",19.0,,,,,,3,5,11,4,21.1,4,4,0,0,0.0,Matches
Daniel Bielica,pl POL,GK,Górnik Zabrze,22,1999,14,14,"1,260",14.0,,,,,,5,3,6,2,14.3,5,4,1,0,20.0,Matches
Kacper Bieszczad,pl POL,GK,Zagłębie Lubin,18,2002,10,10,900,10.0,,,,,,5,3,2,4,40.0,1,1,0,0,0.0,Matches
Artur Boruc,pl POL,GK,Legia Warsaw,41,1980,11,11,971,10.8,,,,,,5,0,6,3,27.3,2,2,0,0,0.0,Matches
Michał Buchalik,pl POL,GK,Lechia Gdańsk,32,1989,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
Łukasz Budziłek,pl POL,GK,Bruk-Bet Termalica Nieciecza,30,1991,3,3,270,3.0,,,,,,1,1,1,0,0.0,0,0,0,0,,Matches
Jasmin Burić,ba BIH,GK,Zagłębie Lubin,34,1987,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
Mickey van der Hart,nl NED,GK,Lech Poznań,27,1994,16,16,"1,338",14.9,,,,,,12,4,0,7,43.8,4,4,0,0,0.0,Matches
Xavier Dziekonski,pl POL,GK,Jagiellonia,17,2003,10,10,900,10.0,,,,,,2,4,4,2,20.0,2,2,0,0,0.0,Matches
Michał Gliwa,pl POL,GK,Stal Mielec,33,1988,3,3,270,3.0,,,,,,0,1,2,0,0.0,0,0,0,0,,Matches
Maciej Gostomski,pl POL,GK,Górnik Łęczna,32,1988,32,32,"2,880",32.0,,,,,,6,9,17,6,18.8,3,2,0,1,0.0,Matches
Bartłomiej Gradecki,pl POL,GK,Wisła Płock,21,1999,3,3,270,3.0,,,,,,1,0,2,1,33.3,0,0,0,0,,Matches
Jędrzej Grobelny,pl POL,GK,Warta Poznań,20,2001,9,9,810,9.0,,,,,,5,0,4,4,44.4,2,1,0,1,0.0,Matches
Lukáš Hroššo,sk SVK,GK,Cracovia,34,1987,20,20,"1,800",20.0,,,,,,8,7,5,5,25.0,4,4,0,0,0.0,Matches
Dominik Hładun,pl POL,GK,Zagłębie Lubin,25,1995,23,23,"2,070",23.0,,,,,,6,2,15,4,17.4,6,4,2,0,33.3,Matches
