Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Giannis Anestis,gr GRE,GK,Panetolikos,30,1991,13,13,"1,170",13.0,,,,,,4,4,5,7,53.8,1,0,1,0,100.0,Matches
Alberto Brignoli,it ITA,GK,Panathinaikos,29,1991,25,25,"2,250",25.0,,,,,,12,6,7,14,56.0,3,3,0,0,0.0,Matches
Vasilis Chatziemmanouil,gr GRE,GK,AEK Athens,21,1999,1,1,90,1.0,,,,,,1,0,0,1,100.0,0,0,0,0,,Matches
Lefteris Choutesiotis,gr GRE,GK,Ionikos,27,1994,31,31,"2,790",31.0,,,,,,10,9,12,7,22.6,10,9,1,0,10.0,Matches
Georgios Christodoulis,gr GRE,GK,Ionikos,20,2001,1,1,90,1.0,,,,,,1,0,0,0,0.0,0,0,0,0,,Matches
Julián Cuesta,es ESP,GK,Aris,30,1991,27,27,"2,430",27.0,,,,,,15,6,6,14,51.9,5,4,1,0,20.0,Matches
Denis,br BRA,GK,Aris,34,1987,4,4,360,4.0,,,,,,1,1,2,2,50.0,0,0,0,0,,Matches
Sokratis Dioudis,gr GRE,GK,Panathinaikos,28,1993,11,11,990,11.0,,,,,,6,1,4,5,45.5,1,1,0,0,0.0,Matches
Devis Epassy,cm CMR,GK,OFI Crete,28,1993,23,23,"2,070",23.0,,,,,,7,10,6,8,34.8,2,1,0,1,0.0,Matches
Athanasios Garavelis,gr GRE,GK,PAS Lamia,28,1992,18,18,"1,620",18.0,,,,,,2,5,11,4,22.2,2,2,0,0,0.0,Matches
Andreas Gianniotis,gr GRE,GK,Atromitos,28,1992,21,21,"1,890",21.0,,,,,,8,5,8,5,23.8,3,2,0,1,0.0,Matches
Ilias Karargyris,gr GRE,GK,Olympiacos,19,2002,1,0,1,0.0,,,,,,,,,0,,0,0,0,0,,Matches
Boris Klaiman,il ISR,GK,Volos NFC,30,1990,21,19,"1,800",20.0,,,,,,3,6,10,5,26.3,6,4,2,0,33.3,Matches
Matic Kotnik,si SVN,GK,Volos NFC,31,1990,7,7,585,6.5,,,,,,3,2,2,1,14.3,2,2,0,0,0.0,Matches
Konstantinos Kotsaris,gr GRE,GK,Apollon Smyrnis,25,1996,17,16,"1,472",16.4,,,,,,2,5,9,4,25.0,6,5,1,0,16.7,Matches
Ögmundur Kristinsson,is ISL,GK,Olympiacos,32,1989,1,1,89,1.0,,,,,,1,0,0,0,0.0,0,0,0,0,,Matches
Yuri Lodygin,ru RUS,GK,PAS Giannina,31,1990,32,32,"2,880",32.0,,,,,,11,8,13,14,43.8,4,3,1,0,25.0,Matches
Christos Mandas,gr GRE,GK,OFI Crete,19,2001,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
Marko Marić,hr CRO,GK,Atromitos,25,1996,1,1,90,1.0,,,,,,0,1,0,1,100.0,0,0,0,0,,Matches
