Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Norbert Alblas,nl NED,GK,Excelsior,27,1994,1,0,28,0.3,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches
Vasilios Barkas,gr GRE,GK,Utrecht,28,1994,32,32,"2,880",32.0,50,1.56,154,104,68.2,14,8,10,10,31.3,1,1,0,0,0.0,Matches
Jan Bekkema,nl NED,GK,Heerenveen,26,1996,1,0,1,0.0,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
Walter Benítez,ar ARG,GK,PSV Eindhoven,29,1993,30,30,"2,700",30.0,35,1.17,106,71,68.9,20,5,5,10,33.3,2,2,0,0,0.0,Matches
Justin Bijlow,nl NED,GK,Feyenoord,24,1998,25,25,"2,250",25.0,19,0.76,77,59,75.3,17,6,2,12,48.0,0,0,0,0,,Matches
Jan de Boer,nl NED,GK,Groningen,22,2000,3,2,226,2.5,12,4.78,31,19,64.5,1,0,1,0,0.0,1,1,0,0,0.0,Matches
Mattijs Branderhorst,nl NED,GK,NEC Nijmegen,28,1993,2,2,180,2.0,2,1.00,5,3,80.0,0,1,1,0,0.0,1,1,0,0,0.0,Matches
Joel Castro Pereira,pt POR,GK,RKC Waalwijk,26,1996,2,2,180,2.0,9,4.50,20,11,60.0,0,0,2,0,0.0,1,1,0,0,0.0,Matches
Jasper Cillessen,nl NED,GK,NEC Nijmegen,33,1989,32,32,"2,880",32.0,43,1.34,178,136,77.5,8,14,10,9,28.1,3,3,0,0,0.0,Matches
Jeffrey De Lange,nl NED,GK,Go Ahead Eag,24,1998,34,34,"3,060",34.0,56,1.65,172,117,68.6,10,10,14,8,23.5,2,2,0,0,0.0,Matches
Mickey van der Hart,nl NED,GK,Emmen,28,1994,25,25,"2,250",25.0,44,1.76,122,78,65.6,5,8,12,6,24.0,2,2,0,0,0.0,Matches
Joel Drommel,nl NED,GK,PSV Eindhoven,25,1996,4,4,360,4.0,5,1.25,15,12,66.7,3,1,0,1,25.0,0,0,0,0,,Matches
Stijn van Gassel,nl NED,GK,Excelsior,25,1996,34,34,"3,032",33.7,71,2.11,239,170,70.7,9,5,20,8,23.5,1,1,0,0,0.0,Matches
Jeroen Houwen,nl NED,GK,Vitesse,26,1996,3,2,194,2.2,8,3.71,14,6,42.9,0,0,2,1,50.0,0,0,0,0,,Matches
Fabian de Keijzer,nl NED,GK,Utrecht,22,2000,2,2,180,2.0,0,0.00,6,6,100.0,1,1,0,2,100.0,0,0,0,0,,Matches
Barry Lauwers,nl NED,GK,Volendam,22,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Peter Leeuwenburgh,nl NED,GK,Groningen,28,1994,8,8,673,7.5,14,1.87,42,28,71.4,0,2,6,1,12.5,2,2,0,0,0.0,Matches
