Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Antonio Adán,es ESP,GK,Sporting CP,35,1987,31,31,"2,789",31.0,29,0.94,91,63,72.5,21,4,6,13,41.9,4,4,0,0,0.0,Matches
Jordi Almeida,br BRA,GK,Paços,28,1993,6,6,540,6.0,14,2.33,35,23,60.0,0,0,6,0,0.0,0,0,0,0,,Matches
Andrew,br BRA,GK,Gil Vicente FC,21,2001,24,23,"2,131",23.7,26,1.10,121,95,80.2,6,6,11,7,30.4,2,2,0,0,0.0,Matches
Paulo Vítor Fagundes dos Anjos,br BRA,GK,Chaves,33,1988,30,30,"2,700",30.0,33,1.10,150,117,81.3,11,10,9,9,30.0,6,5,0,1,0.0,Matches
Gabriel Batista,br BRA,GK,Santa Clara,24,1998,26,26,"2,340",26.0,49,1.88,129,82,66.7,4,5,17,4,15.4,9,6,1,2,14.3,Matches
Ricardo Batista,pt POR,GK,Casa Pia,35,1986,31,31,"2,790",31.0,31,1.00,131,98,79.4,11,8,12,11,35.5,6,4,2,0,33.3,Matches
Celton Biai,pt POR,GK,Vitória,21,2000,5,5,450,5.0,11,2.20,22,12,54.5,0,1,4,1,20.0,1,1,0,0,0.0,Matches
Rafael Bracalli,br BRA,GK,Boavista,41,1981,28,28,"2,520",28.0,44,1.57,122,79,67.2,8,8,12,5,17.9,6,4,1,1,20.0,Matches
Fabijan Buntić,hr CRO,GK,Vizela,25,1997,33,33,"2,970",33.0,37,1.12,133,95,77.4,11,7,15,11,33.3,9,7,2,0,22.2,Matches
José Carlos Marafona,pt POR,GK,Paços,35,1987,16,16,"1,426",15.8,22,1.39,80,60,72.5,6,3,7,2,12.5,1,0,0,1,,Matches
Marcelo Carné,br BRA,GK,Marítimo,32,1990,14,14,"1,260",14.0,24,1.71,68,45,69.1,5,1,8,2,14.3,4,3,0,1,0.0,Matches
César,br BRA,GK,Boavista,30,1992,5,5,450,5.0,9,1.80,15,6,46.7,3,0,2,1,20.0,1,1,0,0,0.0,Matches
Diogo Costa,pt POR,GK,Porto,22,1999,33,33,"2,970",33.0,22,0.67,79,60,77.2,26,4,3,16,48.5,4,4,0,0,0.0,Matches
Ignacio De Arruabarrena,uy URU,GK,Arouca,25,1997,30,30,"2,699",30.0,32,1.07,134,99,79.1,15,6,9,13,43.3,9,4,4,1,50.0,Matches
Luiz Felipe,br BRA,GK,Vizela,25,1997,1,1,90,1.0,1,1.00,6,5,83.3,0,0,1,0,0.0,0,0,0,0,,Matches
Daniel Figueira,pt POR,GK,Estoril,24,1998,32,32,"2,855",31.7,41,1.29,144,102,76.4,10,4,18,8,25.0,10,7,2,1,22.2,Matches
João Gonçalves,pt POR,GK,Boavista,21,2000,1,1,90,1.0,1,1.00,6,5,83.3,1,0,0,0,0.0,0,0,0,0,,Matches
