Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Gökhan Akkan,tr TUR,GK,Ankaragücü,27,1995,23,23,"2,011",22.3,31,1.39,109,82,75.2,9,4,10,4,17.4,4,4,0,0,0.0,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Alanyaspor,27,1995,30,30,"2,644",29.4,54,1.84,151,106,69.5,8,7,15,6,20.0,9,8,1,0,11.1,Matches
Alp Arda,,GK,İstanbulspor,27,1995,2,2,180,2.0,6,3.00,11,5,45.5,0,1,1,0,0.0,0,0,0,0,,Matches
Volkan Babacan,tr TUR,GK,Başakşehir,33,1988,21,21,"1,890",21.0,14,0.67,58,46,79.3,11,5,5,8,38.1,2,2,0,0,0.0,Matches
Bilal Bayazit,nl NED,GK,Kayserispor,23,1999,30,30,"2,692",29.9,52,1.74,146,101,68.5,12,4,14,7,23.3,7,6,1,0,14.3,Matches
Altay Bayındır,tr TUR,GK,Fenerbahçe,24,1998,26,26,"2,340",26.0,31,1.19,81,54,66.7,18,3,5,9,34.6,5,4,1,0,20.0,Matches
Emre Bilgin,tr TUR,GK,Beşiktaş,18,2004,2,2,180,2.0,3,1.50,3,0,0.0,1,0,1,0,0.0,0,0,0,0,,Matches
Ruud Boffin,be BEL,GK,Antalyaspor,34,1987,7,7,630,7.0,14,2.00,36,23,63.9,2,0,5,1,14.3,1,1,0,0,0.0,Matches
Uğurcan Çakır,tr TUR,GK,Trabzonspor,26,1996,31,31,"2,760",30.7,48,1.57,122,80,65.6,14,5,12,11,35.5,6,6,0,0,0.0,Matches
İrfan Can Eğribayat,tr TUR,GK,Fenerbahçe,24,1998,8,8,720,8.0,11,1.37,32,23,71.9,5,2,1,1,12.5,2,2,0,0,0.0,Matches
Erdem Canpolat,de GER,GK,Kasımpaşa,21,2001,10,9,811,9.0,20,2.22,45,29,64.4,4,1,4,1,11.1,4,4,0,0,0.0,Matches
Muzaffer Cem Kablan,,GK,Fatih Karagümrük,22,2000,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
Mehmet Dadakdeniz,tr TUR,GK,Antalyaspor,22,1999,1,1,90,1.0,0,0.00,3,4,100.0,0,1,0,1,100.0,1,0,1,0,100.0,Matches
Anıl Demir,,GK,Ümraniyespor,25,1996,1,1,90,1.0,5,5.00,9,5,55.6,0,0,1,0,0.0,1,1,0,0,0.0,Matches
Ersin Destanoğlu,tr TUR,GK,Beşiktaş,21,2001,9,9,810,9.0,11,1.22,23,13,56.5,4,4,1,3,33.3,1,1,0,0,0.0,Matches
Deniz Dilmen,,GK,Başakşehir,17,2005,1,1,90,1.0,2,2.00,9,8,77.8,1,0,0,0,0.0,1,0,1,0,100.0,Matches
Erhan Erentürk,tr TUR,GK,Konyaspor,27,1995,5,5,450,5.0,11,2.20,21,12,57.1,1,2,2,1,20.0,2,2,0,0,0.0,Matches
