Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0.0,Matches
Dirk Abels,nl NED,"DF,MF",Sparta R'dam,24,1997,32.2,7,0,0,22,14,1,19,49,39,0,0,0,205,37,26,58.7,Matches
Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21,2000,9.1,1,0,0,13,13,7,7,6,10,0,0,0,39,16,21,43.2,Matches
Paulos Abraham,se SWE,"FW,MF",Groningen,19,2002,15.0,2,0,0,22,13,6,20,5,10,0,0,0,69,12,28,30.0,Matches
Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,19.1,5,1,0,34,8,0,0,49,13,0,0,0,118,48,32,60.0,Matches
Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,8.1,0,0,0,4,8,6,75,3,5,0,0,0,35,8,20,28.6,Matches
Joost van Aken,nl NED,DF,Heerenveen,27,1994,2.2,0,0,0,1,0,0,1,2,5,0,1,0,13,9,3,75.0,Matches
Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,17.4,1,1,0,13,20,17,12,6,7,0,0,0,63,16,37,30.2,Matches
Hamdi Akujobi,nl NED,"DF,FW",Heerenveen,21,2000,1.6,0,0,0,0,2,0,6,3,2,0,0,0,10,2,1,66.7,Matches
Pontus Almqvist,se SWE,"FW,MF",Utrecht,22,1999,2.9,0,0,0,2,4,0,6,3,3,0,0,0,9,3,5,37.5,Matches
Edson Álvarez,mx MEX,MF,Ajax,23,1997,25.9,5,0,0,28,15,2,3,43,40,0,0,0,209,102,51,66.7,Matches
Mohamed Amissi,bi BDI,"FW,MF",Heracles Almelo,20,2000,1.4,0,0,0,1,4,0,2,0,3,0,0,0,9,2,2,50.0,Matches
Djavan Anderson,nl NED,"DF,MF",Zwolle,26,1995,11.4,0,0,0,9,7,0,29,11,5,0,0,0,62,9,15,37.5,Matches
Martin Angha,ch SUI,DF,Fortuna Sittard,27,1994,28.8,6,0,0,32,18,2,8,47,32,0,0,0,160,87,68,56.1,Matches
Vurnon Anita,cw CUW,MF,RKC Waalwijk,32,1989,30.3,3,0,0,23,15,0,5,41,22,0,0,0,219,10,19,34.5,Matches
Antony,br BRA,FW,Ajax,21,2000,19.2,5,1,1,20,29,6,101,12,11,1,0,0,101,18,11,62.1,Matches
Samuel Armenteros,se SWE,FW,Heracles Almelo,31,1990,2.3,0,0,0,5,4,3,2,2,0,0,0,0,6,9,12,42.9,Matches
Adil Auassar,nl NED,"DF,MF",Sparta R'dam,34,1986,27.5,7,0,0,27,10,2,7,47,26,0,1,0,143,69,55,55.6,Matches
Sebbe Augustijns,be BEL,MF,RKC Waalwijk,21,1999,1.6,1,0,0,3,2,0,1,2,0,0,0,0,11,2,2,50.0,Matches
