Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,8,0,0,27,52,1,50,28,44,0,2,1,154,13,50,20.6,Matches
Che Adams,sct SCO,FW,Southampton,25,1996,22.7,0,0,0,29,40,7,8,8,6,0,0,0,70,61,91,40.1,Matches
Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,20,2001,20.3,4,0,0,14,20,3,96,22,36,1,0,0,128,17,13,56.7,Matches
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,5,0,0,12,16,0,17,26,18,0,0,0,109,49,31,61.3,Matches
Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,0,0,0,9,2,0,1,8,9,0,0,0,43,37,12,75.5,Matches
Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,12.6,3,0,0,6,13,2,78,14,19,0,0,0,65,4,13,23.5,Matches
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,2,0,0,19,13,0,4,26,29,0,0,0,126,31,12,72.1,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2,0,0,12,7,11,273,43,23,0,0,0,235,15,13,53.6,Matches
Alisson,br BRA,GK,Liverpool,28,1992,36.0,0,0,0,0,2,0,0,0,1,0,0,1,80,15,1,93.8,Matches
Allan,br BRA,MF,Everton,30,1991,24.3,7,1,0,30,22,0,10,23,44,1,0,0,191,11,15,42.3,Matches
Dele Alli,eng ENG,MF,Tottenham,25,1996,7.3,1,0,0,12,11,2,5,6,8,1,0,0,40,7,11,38.9,Matches
Dele Alli,eng ENG,"MF,FW",Everton,25,1996,3.8,3,0,0,9,7,2,1,6,2,0,0,0,24,9,8,52.9,Matches
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27,1994,19.1,2,0,0,17,25,9,20,20,29,0,0,0,96,5,14,26.3,Matches
Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,8,0,0,25,28,3,149,43,29,0,1,0,139,40,28,58.8,Matches
Steven Alzate,co COL,MF,Brighton,22,1998,4.5,0,0,0,6,4,0,0,10,4,0,0,0,39,4,8,33.3,Matches
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,4,0,0,14,8,1,0,21,13,0,0,0,145,33,37,47.1,Matches
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,4,0,0,19,8,1,8,37,23,0,0,1,152,56,48,53.8,Matches
Michail Antonio,jm JAM,FW,West Ham,31,1990,33.0,8,1,1,50,52,13,63,3,17,0,0,0,90,79,112,41.4,Matches
Cameron Archer,eng ENG,"FW,MF",Aston Villa,20,2001,0.3,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,50.0,Matches
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
