Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Leroy Abanda,fr FRA,"DF,MF",R.F.C. Seraing,22,2000,7.6,2,0,0,11,3,3,33,21,6,0,0,0,42,6,6,50.0,Matches
Francis Abu,gh GHA,MF,Cercle Brugge,21,2001,18.3,4,0,0,32,21,0,9,27,38,0,1,0,180,37,31,54.4,Matches
Simon Adingra,ci CIV,"DF,FW",Union SG,20,2002,21.2,1,1,0,20,21,13,94,12,15,1,1,0,111,4,5,44.4,Matches
Brian Agbor,cm CMR,"DF,MF",Gent,21,2001,0.7,0,0,0,0,0,0,1,3,1,0,0,0,6,1,1,50.0,Matches
Enock Agyei,be BEL,"FW,MF",Mechelen,17,2005,3.7,0,0,0,1,11,1,4,0,2,0,0,0,22,1,3,25.0,Matches
Halil Akbunar,tr TUR,"MF,FW",Westerlo,28,1993,8.5,3,0,0,14,5,2,31,5,10,2,0,0,47,7,9,43.8,Matches
Alessandro Albanese,be BEL,"MF,DF",Oostende,22,2000,6.2,3,2,1,9,9,3,21,8,14,0,0,0,58,1,1,50.0,Matches
Toby Alderweireld,be BEL,DF,Antwerp,33,1989,30.0,5,0,0,19,3,0,5,21,15,0,0,0,157,56,25,69.1,Matches
Alfonso,mz MOZ,MF,Oostende,22,1999,14.4,4,0,0,22,8,0,3,26,32,0,0,0,84,6,7,46.2,Matches
Teddy Alloh,fr FRA,DF,Eupen,20,2002,4.0,2,0,0,7,5,0,2,6,2,0,0,0,16,3,10,23.1,Matches
Dinis Almeida,pt POR,DF,Antwerp,27,1995,3.5,2,0,0,3,0,0,0,1,5,0,0,0,18,11,5,68.8,Matches
Éder Álvarez Balanta,co COL,MF,Club Brugge,29,1993,3.1,0,0,0,4,6,0,1,2,9,0,0,0,23,5,2,71.4,Matches
Steven Alzate,co COL,MF,Standard Liège,23,1998,21.9,5,0,0,27,28,1,3,18,37,0,0,0,159,29,21,58.0,Matches
Selim Amallah,ma MAR,"MF,FW",Standard Liège,25,1996,8.8,4,1,1,18,19,1,3,9,8,1,0,0,47,7,14,33.3,Matches
Thierry Ambrose,gp GLP,FW,Oostende,25,1997,25.1,7,0,0,27,55,19,48,4,13,2,0,0,128,91,95,48.9,Matches
Michael Amir Murillo,pa PAN,DF,Anderlecht,26,1996,27.5,3,0,0,21,19,11,47,24,27,0,0,0,151,52,35,59.8,Matches
Francis Amuzu,be BEL,"FW,DF",Anderlecht,22,1999,25.5,4,0,0,28,57,18,87,11,16,1,1,0,79,9,21,30.0,Matches
Stelios Andreou,cy CYP,DF,Charleroi,20,2002,20.0,3,0,0,12,10,1,1,37,26,0,0,0,119,20,24,45.5,Matches
Nilson Angulo,ec ECU,"DF,FW",Anderlecht,19,2003,0.3,2,0,0,2,1,0,0,0,1,0,0,0,5,0,2,0.0,Matches
