Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Rodrigo Abascal,uy URU,DF,Boavista,28,1994,25.5,7,1,0,30,5,2,22,36,28,0,0,0,142,31,23,57.4,Matches
Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,27,1995,17.9,6,0,0,20,29,0,11,12,17,0,0,0,114,17,12,58.6,Matches
Elias Achouri,tn TUN,MF,Estoril,23,1999,0.1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,100.0,Matches
Antonio Adán,es ESP,GK,Sporting CP,35,1987,31.0,5,1,1,2,2,0,0,0,0,0,1,0,37,3,0,100.0,Matches
Adriano,br BRA,"MF,DF",Santa Clara,22,1999,24.5,8,0,0,30,22,2,4,26,31,0,1,0,201,10,21,32.3,Matches
João Afonso Crispim,br BRA,MF,Marítimo,27,1995,16.3,10,1,1,33,12,0,1,36,24,0,1,0,107,33,18,64.7,Matches
Lucas Áfrico,br BRA,DF,Estoril,27,1995,3.9,0,0,0,4,5,0,0,3,1,0,0,0,11,8,6,57.1,Matches
Martin Agirregabiria,es ESP,"DF,FW",Famalicão,26,1996,4.5,1,0,0,4,6,0,13,10,4,0,0,0,21,2,1,66.7,Matches
Salvador Agra,pt POR,"FW,MF",Boavista,30,1991,18.3,6,0,0,30,37,5,119,6,20,0,0,1,73,5,11,31.3,Matches
Mohamed Aidara,ci CIV,"DF,FW",Vizela,25,1996,2.7,0,0,0,0,0,0,0,2,1,0,0,0,14,2,3,40.0,Matches
Alemão,br BRA,DF,Portimonense,19,2002,4.0,0,0,0,5,2,0,0,6,9,0,0,0,20,9,9,50.0,Matches
Sotiris Alexandropoulos,gr GRE,MF,Sporting CP,20,2001,1.2,0,0,0,3,1,0,0,2,5,0,0,0,11,1,1,50.0,Matches
Ali Alipour,ir IRN,"FW,MF",Gil Vicente FC,26,1995,5.9,2,0,0,7,15,4,9,1,3,0,0,0,27,11,15,42.3,Matches
Allano,br BRA,"FW,MF",Santa Clara,27,1995,12.6,5,0,0,26,41,9,58,7,13,0,1,0,66,15,17,46.9,Matches
Domingos André Ribeiro Almeida,pt POR,MF,Vitória,22,2000,2.6,1,0,0,5,7,0,1,4,2,0,0,0,20,2,1,66.7,Matches
Jordi Almeida,br BRA,GK,Paços,28,1993,6.0,1,0,0,0,2,0,0,0,0,0,0,0,5,3,1,75.0,Matches
Alejandro Alvarado Jr.,us USA,"FW,MF",Vizela,19,2003,0.8,1,0,0,3,0,0,1,0,0,0,0,0,5,2,3,40.0,Matches
Pedro Álvaro,pt POR,DF,Estoril,22,2000,28.6,8,0,0,45,15,1,4,34,12,0,2,0,100,57,30,65.5,Matches
Pedro Amaral,pt POR,DF,Rio Ave,24,1997,11.0,5,0,0,12,9,1,58,10,9,0,0,0,50,2,7,22.2,Matches
André Amaro,pt POR,DF,Vitória,19,2002,26.2,11,1,1,26,30,1,4,48,30,0,2,0,142,54,40,57.4,Matches
