Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches


Rayane Aabid,fr FRA,MF,Hatayspor,30,1992,14.7,1,0,0,11,15,0,18,5,10,,,0,Matches
Patrick van Aanholt,nl NED,DF,Galatasaray,31,1990,8.9,2,0,0,7,5,1,18,9,9,,,0,Matches
Kristal Abazaj,al ALB,MF,İstanbulspor,26,1996,2.1,2,1,1,4,4,1,3,3,0,,,0,Matches
Vincent Aboubakar,cm CMR,FW,Beşiktaş,30,1992,14.6,3,0,0,13,16,5,3,4,6,,,0,Matches
Yaw Ackah,gh GHA,MF,Kayserispor,23,1999,4.7,2,1,0,7,2,0,1,8,5,,,0,Matches
Sam Adekugbe,ca CAN,DF,Hatayspor,27,1995,15.2,4,0,0,10,10,5,41,17,11,,,0,Matches
Sam Adekugbe,ca CAN,DF,Galatasaray,27,1995,5.7,2,0,0,6,5,0,13,6,6,,,0,Matches
Luiz Adriano,br BRA,"MF,FW",Antalyaspor,35,1987,13.1,2,1,0,19,24,5,1,2,12,,,0,Matches
Samet Akaydın,tr TUR,DF,Fenerbahçe,28,1994,16.8,2,0,0,24,8,0,0,28,29,,,0,Matches
Samet Akaydın,tr TUR,DF,Adana Demirspor,28,1994,15.7,4,0,0,17,19,0,0,32,11,,,0,Matches
Emre Akbaba,tr TUR,"MF,FW",Adana Demirspor,29,1992,19.1,3,0,0,27,35,2,57,13,18,,,0,Matches
Emre Akbaba,tr TUR,MF,Galatasaray,29,1992,1.9,0,0,0,7,3,1,3,2,3,,,0,Matches
Ümit Akdag,ro ROU,DF,Alanyaspor,18,2003,0.5,0,0,0,1,0,0,0,3,0,,,0,Matches
Yunus Akgün,tr TUR,MF,Galatasaray,22,2000,11.3,1,0,0,9,19,0,22,5,6,,,0,Matches
Babajide Akintola,ng NGA,MF,Adana Demirspor,26,1996,18.1,3,1,0,28,22,11,41,6,8,,,0,Matches
Gökhan Akkan,tr TUR,GK,Ankaragücü,27,1995,22.3,2,0,0,0,4,0,0,0,0,,,0,Matches
Hamza Akman,tr TUR,MF,Galatasaray,17,2004,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
Engin Aksoy,tr TUR,DF,Hatayspor,18,2003,1.1,0,0,0,2,0,0,3,0,1,,,0,Matches
Fatih Aksoy,tr TUR,DF,Alanyaspor,24,1997,21.2,3,1,0,34,17,0,8,21,32,,,0,Matches
Kerem Aktürkoğlu,tr TUR,MF,Galatasaray,23,1998,28.8,3,0,0,14,48,9,113,19,15,,,0,Matches
Ufuk Akyol,de GER,MF,Antalyaspor,24,1997,18.0,1,0,0,18,11,0,1,13,17,,,0,Matches
Mehmet Albayrak,tr TUR,MF,Sivasspor,18,2004,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Danijel Aleksić,rs SRB,MF,Başakşehir,31,1991,18.2,5,0,0,20,12,4,26,2,11,,,0,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Alanyaspor,27,1995,29.4,4,0,0,2,6,0,0,1,0,,,0,Matches
