Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches


Jonas Abbew,dk DEN,DF,Nordsjælland,21,2002,2.2,0,0,0,2,0,0,0,2,0,,,0,Matches
Jonas Abbew,dk DEN,DF,AGF,21,2002,6.4,0,0,0,4,2,0,2,6,3,,,0,Matches
Malik Abubakari,gh GHA,FW,Viborg,23,2000,3.8,1,0,0,8,5,3,1,3,1,,,0,Matches
Elias Achouri,tn TUN,"FW,MF",FC Copenhagen,24,1999,23.3,7,0,0,21,41,9,76,6,13,,,0,Matches
Tonni Adamsen,dk DEN,"FW,MF",Silkeborg,28,1994,20.9,2,0,0,13,30,5,63,3,7,,,0,Matches
Aske Adelgaard,dk DEN,DF,Odense,19,2003,11.2,2,0,0,25,12,0,27,5,19,,,0,Matches
Jeffrey Adjei-Broni,dk DEN,FW,Hvidovre IF,19,2004,9.8,3,0,0,14,26,4,18,4,6,,,0,Matches
Martin Agnarsson,fo FRO,DF,Viborg,19,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Ernest Agyiri,gh GHA,MF,Randers,25,1998,7.4,0,0,0,9,15,6,44,5,2,,,0,Matches
Michael Akoto,de GER,DF,AGF,26,1997,4.5,1,0,0,7,6,0,3,6,7,,,0,Matches
Raúl Albentosa,es ESP,DF,Vejle BK,34,1988,29.9,11,0,0,33,30,4,4,54,25,,,1,Matches
Miiko Albornoz,cl CHI,MF,Vejle BK,32,1990,20.2,4,0,0,23,30,0,143,18,36,,,0,Matches
Mads Albæk,dk DEN,MF,Randers,33,1990,3.8,1,0,0,5,2,0,7,4,3,,,0,Matches
Jonathan Amon,us USA,"FW,MF",Lyngby,24,1999,10.4,0,0,0,11,27,4,22,2,9,,,0,Matches
Jacob Andersen,dk DEN,MF,AGF,19,2004,9.3,5,0,0,17,14,2,22,8,7,,,0,Matches
Mikael Anderson,is ISL,"MF,FW",AGF,25,1998,26.9,5,0,0,29,83,2,95,8,13,,,0,Matches
Hugo Andersson,se SWE,DF,Randers,24,1999,10.1,3,0,0,14,2,0,0,10,5,,,0,Matches
Joel Andersson,se SWE,MF,Midtjylland,26,1996,2.8,1,0,0,2,1,0,10,2,2,,,0,Matches
Mathias Andreasen,dk DEN,FW,Hvidovre IF,19,2003,2.4,2,0,0,7,3,0,1,2,1,,,0,Matches
Valdemar Andreasen,dk DEN,MF,Midtjylland,18,2005,0.9,1,0,0,2,0,0,1,1,0,,,0,Matches
Tobias Anker,dk DEN,DF,AGF,22,2001,4.2,1,1,0,8,2,0,2,2,2,,,0,Matches
Peter Ankersen,dk DEN,"DF,MF",FC Copenhagen,32,1990,12.1,3,0,0,11,14,0,64,12,13,,,0,Matches
Oliver Antman,fi FIN,"FW,MF",Nordsjælland,21,2001,9.4,1,0,0,7,7,3,14,3,10,,,0,Matches
Daniel Anyembe,ke KEN,DF,Viborg,25,1998,21.3,3,0,0,7,18,0,48,18,18,,,0,Matches
