Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Brenden Aaronson,us USA,"MF,FW",RB Salzburg,20,2000,21.0,4,52,17,32.7,2.48,0.81,0.06,0.18,,1,1,Matches
Amir Abdijanovic,at AUT,FW,SCR Altach,20,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Junior Adamu,at AUT,FW,RB Salzburg,20,2001,18.1,7,57,19,33.3,3.14,1.05,0.12,0.37,,0,1,Matches
Karim Adeyemi,de GER,FW,RB Salzburg,19,2002,21.6,19,69,36,52.2,3.20,1.67,0.22,0.42,,4,4,Matches
David Affengruber,at AUT,DF,Sturm Graz,20,2001,28.9,1,23,5,21.7,0.80,0.17,0.04,0.20,,0,0,Matches
Sebastian Aigner,at AUT,MF,SCR Altach,20,2001,10.4,0,3,0,0.0,0.29,0.00,0.00,,,0,0,Matches
Emanuel Aiwum,at AUT,"DF,MF",Rapid Wien,20,2000,21.3,2,16,3,18.8,0.75,0.14,0.13,0.67,,0,0,Matches
Emanuel Aiwum,at AUT,DF,Admira,20,2000,5.0,1,3,1,33.3,0.60,0.20,0.33,1.00,,0,0,Matches
Alfinete,br BRA,MF,Admira,23,1998,2.6,1,8,4,50.0,3.12,1.56,0.13,0.25,,0,0,Matches
Pape Alioune Ndiaye,fr FRA,DF,SCR Altach,23,1998,14.3,0,2,2,100.0,0.14,0.14,0.00,0.00,,0,0,Matches
Gloire Amanda,ca CAN,MF,SK Austria Klagenfurt,22,1998,1.4,1,4,1,25.0,2.86,0.71,0.25,1.00,,0,0,Matches
Andrés Andrade Cedeño,pa PAN,DF,LASK,22,1998,1.6,0,0,0,,0.00,0.00,,,,0,0,Matches
Marc Andre Schmerböck,at AUT,MF,Hartberg,27,1994,4.6,1,9,3,33.3,1.95,0.65,0.11,0.33,,0,0,Matches
Mario Andric,at AUT,DF,WSG Tirol,23,1998,0.9,0,1,1,100.0,1.10,1.10,0.00,0.00,,0,0,Matches
Tobias Anselm,at AUT,FW,WSG Tirol,21,2000,6.3,1,25,10,40.0,3.95,1.58,0.04,0.10,,0,0,Matches
Kelvin Arase,at AUT,"MF,FW",Rapid Wien,22,1999,10.2,1,22,6,27.3,2.16,0.59,0.05,0.17,,0,0,Matches
Jonas Auer,at AUT,"DF,MF",Rapid Wien,20,2000,11.4,0,13,4,30.8,1.14,0.35,0.00,0.00,,0,0,Matches
Stephan Auer,at AUT,"DF,MF",Admira,30,1991,0.8,0,0,0,,0.00,0.00,,,,0,0,Matches
Donis Avdijaj,xk KVX,"MF,FW",Hartberg,24,1996,15.7,5,30,12,40.0,1.91,0.76,0.17,0.42,,0,0,Matches
Maxime Awoudja,de GER,DF,WSG Tirol,23,1998,16.3,2,6,2,33.3,0.37,0.12,0.33,1.00,,0,0,Matches
Okan Aydın,tr TUR,"MF,FW",Hartberg,27,1994,8.5,2,27,14,51.9,3.18,1.65,0.07,0.14,,0,0,Matches
