Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches


Sargis Adamyan,am ARM,FW,Club Brugge,28,1993,5.3,5,23,12,52.2,4.35,2.27,0.22,0.42,10.8,0,0,0,4.3,4.3,0.19,+0.7,+0.7,Matches
Emmanuel Agbadou,ci CIV,DF,Eupen,24,1997,32.1,5,31,8,25.8,0.97,0.25,0.16,0.63,15.1,1,0,0,3.6,3.6,0.12,+1.4,+1.4,Matches
Yannick Aguemon,bj BEN,"FW,DF",OH Leuven,29,1992,1.4,0,2,0,0.0,1.41,0.00,0.00,,14.1,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
Joost van Aken,nl NED,DF,Zulte Waregem,27,1994,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alessandro Albanese,be BEL,"DF,MF",Oostende,21,2000,3.6,1,2,1,50.0,0.56,0.28,0.50,1.00,35.4,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches
Rúnar Alex Rúnarsson,is ISL,GK,OH Leuven,26,1995,16.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alfonso,mz MOZ,"MF,DF",Oostende,21,1999,12.3,2,10,4,40.0,0.81,0.33,0.20,0.50,17.5,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Matches
Rachid Alioui,ma MAR,FW,Kortrijk,29,1992,1.8,1,12,2,16.7,6.59,1.10,0.08,0.50,17.8,1,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
Arthur Allemeersch,be BEL,FW,OH Leuven,20,2001,1.4,0,3,1,33.3,2.11,0.70,0.00,0.00,8.6,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
Teddy Alloh,fr FRA,"DF,FW",Eupen,19,2002,7.6,0,1,0,0.0,0.13,0.00,0.00,,16.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Dinis Almeida,pt POR,DF,Antwerp,26,1995,15.0,0,6,1,16.7,0.40,0.07,0.00,0.00,9.8,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Éder Álvarez Balanta,co COL,MF,Club Brugge,28,1993,17.0,1,11,3,27.3,0.65,0.18,0.09,0.33,14.9,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
Selim Amallah,ma MAR,"FW,MF",Standard Liège,24,1996,13.7,3,34,10,29.4,2.48,0.73,0.06,0.20,23.0,6,1,1,3.4,2.6,0.08,-0.4,-0.6,Matches
Jordi Amat,id IDN,DF,Eupen,29,1992,25.3,0,8,1,12.5,0.32,0.04,0.00,0.00,21.7,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
Thierry Ambrose,gp GLP,FW,Oostende,24,1997,25.0,6,71,32,45.1,2.84,1.28,0.08,0.19,19.0,0,0,0,5.7,5.7,0.08,+0.3,+0.3,Matches
