Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Ayoub Abou,ma MAR,MF,Tsarsko Selo,23,1998,9.8,0,,,,,,,,,0,0,Matches
Ahmed Ahmedov,bg BUL,FW,CSKA Sofia,26,1995,2.9,0,,,,,,,,,0,0,Matches
Aleksandar Aleksandrov,bg BUL,FW,Lokomotiv Sofia,27,1994,15.3,2,,,,,,,,,0,0,Matches
Denislav Aleksandrov,bg BUL,MF,CSKA 1948,24,1997,8.5,1,,,,,,,,,0,0,Matches
Georgi Aleksandrov,bg BUL,DF,Levski Sofia,20,2001,3.8,0,,,,,,,,,0,0,Matches
Sasho Aleksandrov,bg BUL,DF,CSKA 1948,35,1986,9.9,0,,,,,,,,,0,0,Matches
Sasho Aleksandrov,bg BUL,DF,Tsarsko Selo,35,1986,17.5,0,,,,,,,,,0,0,Matches
Dzhuinet Ali,bg BUL,DF,Beroe,26,1994,5.7,1,,,,,,,,,0,0,Matches
Pablo Álvarez,es ESP,MF,Cherno More,24,1997,27.7,6,,,,,,,,,3,3,Matches
Sami El Anabi,be BEL,DF,Cherno More,21,2000,0.2,0,,,,,,,,,0,0,Matches
Anderson,br BRA,MF,Tsarsko Selo,22,1998,0.2,0,,,,,,,,,0,0,Matches
Leandro Andrade,cv CPV,MF,Cherno More,21,1999,15.2,2,,,,,,,,,0,0,Matches
Plamen Andreev,bg BUL,GK,Levski Sofia,16,2004,2.7,0,,,,,,,,,0,0,Matches
Ayvan Angelov,bg BUL,MF,Loko Plovdiv,19,2001,1.1,0,,,,,,,,,0,0,Matches
Denislav Angelov,bg BUL,FW,CSKA 1948,20,2001,8.0,1,,,,,,,,,0,0,Matches
Denislav Angelov,bg BUL,FW,Cherno More,20,2001,1.0,0,,,,,,,,,0,0,Matches
Georgi Angelov,bg BUL,MF,CSKA 1948,30,1990,17.3,1,,,,,,,,,0,0,Matches
Milcho Angelov,bg BUL,FW,Tsarsko Selo,26,1995,7.8,1,,,,,,,,,0,0,Matches
Valentin Antov,bg BUL,DF,CSKA Sofia,20,2000,1.0,0,,,,,,,,,0,0,Matches
Georgi Argilashki,bg BUL,GK,Botev Plovdiv,30,1991,26.0,0,,,,,,,,,0,0,Matches
Georgi Atanasov,bg BUL,FW,Arda,17,2004,1.3,0,,,,,,,,,0,0,Matches
Martin Atanasov,bg BUL,DF,Slavia Sofia,19,2002,3.6,1,,,,,,,,,0,0,Matches
Petar Atanasov,bg BUL,"FW,MF",Tsarsko Selo,30,1990,8.1,0,,,,,,,,,0,0,Matches
Stoycho Atanasov,bg BUL,DF,Lokomotiv Sofia,24,1997,5.0,0,,,,,,,,,0,0,Matches
Zhivko Atanasov,bg BUL,DF,Cherno More,30,1991,28.4,1,,,,,,,,,0,0,Matches

Ivan Atanatos,,DF,Lokomotiv Sofia,,,0.0,0,,,,,,,,,0,0,Matches
Dorian Babunski,mk MKD,FW,Botev Vratsa,24,1996,17.1,10,,,,,,,,,3,3,Matches
