Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Leroy Abanda,fr FRA,DF,PAS Lamia,22,2000,14.0,0,,,,,,,,,0,0,Matches
Pape Abou Cissé,sn SEN,DF,Olympiacos,26,1995,4.4,0,,,,,,,,,0,0,Matches
Daniel Adejo,ng NGA,DF,PAS Lamia,32,1989,14.8,0,,,,,,,,,0,0,Matches
Oluwatobiloba Alagbe,ng NGA,MF,Asteras Tripoli,22,2000,6.2,0,,,,,,,,,0,0,Matches
Sotiris Alexandropoulos,gr GRE,MF,Panathinaikos,20,2001,0.1,0,,,,,,,,,0,0,Matches
Nikolai Alho,fi FIN,DF,Volos NFC,29,1993,32.2,1,,,,,,,,,0,0,Matches
Christos Almpanis,gr GRE,"FW,MF",AEK Athens,27,1994,0.1,0,,,,,,,,,0,0,Matches
Federico Álvarez,ar ARG,DF,Asteras Tripoli,27,1994,25.7,1,,,,,,,,,0,0,Matches
Nordin Amrabat,ma MAR,MF,AEK Athens,35,1987,18.5,7,,,,,,,,,4,4,Matches
Panagiotis Anastasopoulos,gr GRE,DF,Panetolikos,18,2003,0.3,0,,,,,,,,,0,0,Matches
Thanasis Androutsos,gr GRE,DF,Olympiacos,25,1997,5.2,1,,,,,,,,,0,0,Matches
Giannis Anestis,gr GRE,GK,Panetolikos,31,1991,21.0,0,,,,,,,,,0,0,Matches
Miguel Ángel Guerrero,es ESP,"FW,MF",OFI Crete,32,1990,8.5,0,,,,,,,,,0,0,Matches
Fabien Antunes,fr FRA,"MF,DF",Ionikos,30,1991,11.5,0,,,,,,,,,0,0,Matches
Giorgos Antzoulas,gr GRE,DF,Asteras Tripoli,22,2000,1.0,0,,,,,,,,,0,0,Matches
Aias Aosman,sy SYR,"MF,FW",Ionikos,27,1994,11.5,2,,,,,,,,,0,0,Matches
Giannis Apostolakis,gr GRE,MF,OFI Crete,17,2004,0.6,0,,,,,,,,,0,0,Matches
Kostas Apostolakis,gr GRE,DF,Panetolikos,23,1999,15.7,0,,,,,,,,,0,0,Matches
Youssef El-Arabi,ma MAR,FW,Olympiacos,35,1987,11.2,6,,,,,,,,,2,3,Matches
Sergio Araujo,ar ARG,FW,AEK Athens,30,1992,26.5,7,,,,,,,,,0,0,Matches
Stefan Aškovski,mk MKD,"MF,FW",PAS Lamia,30,1992,7.5,0,,,,,,,,,0,0,Matches
Kyriakos Aslanidis,gr GRE,DF,Volos NFC,20,2002,3.5,0,,,,,,,,,0,0,Matches
Giorgos Athanasiadis,gr GRE,GK,AEK Athens,29,1993,30.0,0,,,,,,,,,0,0,Matches
Nicolaos Athanasiou,gr GRE,DF,Atromitos,21,2001,5.0,0,,,,,,,,,0,0,Matches
Vasilis Athanasiou,gr GRE,GK,PAS Giannina,23,1999,8.2,0,,,,,,,,,0,0,Matches

Pichu Atienza,es ESP,DF,Asteras Tripoli,32,1990,21.7,1,,,,,,,,,0,0,Matches
