Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches


Brenden Aaronson,us USA,"MF,FW",Union Berlin,22,2000,14.1,2,18,7,38.9,1.28,0.50,0.11,0.29,18.4,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches
Paxten Aaronson,us USA,MF,Eint Frankfurt,19,2003,1.1,0,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Junior Adamu,at AUT,"FW,MF",Freiburg,22,2001,1.2,0,2,1,50.0,1.71,0.86,0.00,0.00,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,30,1993,8.9,1,31,13,41.9,3.48,1.46,0.03,0.08,12.4,0,0,0,4.1,4.1,0.13,-3.1,-3.1,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,21,2002,10.1,3,23,10,43.5,2.27,0.99,0.13,0.30,14.6,0,0,0,3.5,3.5,0.15,-0.5,-0.5,Matches
Amine Adli,ma MAR,"MF,FW",Leverkusen,23,2000,10.0,4,27,15,55.6,2.71,1.50,0.15,0.27,13.7,0,0,0,3.3,3.3,0.12,+0.7,+0.7,Matches
Felix Agu,de GER,"DF,MF",Werder Bremen,23,1999,17.9,0,11,0,0.0,0.61,0.00,0.00,,19.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
Ludovic Ajorque,fr FRA,FW,Mainz 05,29,1994,15.1,2,27,6,22.2,1.79,0.40,0.07,0.33,13.1,0,0,2,5.3,3.7,0.14,-3.3,-1.7,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28,1995,12.2,0,2,0,0.0,0.16,0.00,0.00,,6.8,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
Faride Alidou,de GER,"FW,MF",Köln,22,2001,14.2,4,33,11,33.3,2.32,0.77,0.12,0.36,14.5,0,0,0,3.0,3.0,0.09,+1.0,+1.0,Matches
Skelly Alvero,fr FRA,MF,Werder Bremen,21,2002,1.4,1,5,3,60.0,3.66,2.20,0.20,0.33,15.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
Nadiem Amiri,de GER,MF,Mainz 05,26,1996,14.6,1,35,8,22.9,2.40,0.55,0.03,0.13,26.8,11,0,1,2.2,1.4,0.04,-1.2,-0.4,Matches
Nadiem Amiri,de GER,MF,Leverkusen,26,1996,1.0,0,3,2,66.7,3.14,2.09,0.00,0.00,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Kofi Amoako,de GER,MF,Wolfsburg,18,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
