Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Jonas Abbew,dk DEN,DF,Nordsjælland,21,2002,2.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Jonas Abbew,dk DEN,DF,AGF,21,2002,6.4,1,2,2,100.0,0.31,0.31,0.50,0.50,,0,0,Matches
Malik Abubakari,gh GHA,FW,Viborg,23,2000,3.8,2,19,8,42.1,4.99,2.10,0.11,0.25,,0,0,Matches
Elias Achouri,tn TUN,"FW,MF",FC Copenhagen,24,1999,23.3,4,35,19,54.3,1.50,0.81,0.11,0.21,,0,0,Matches
Tonni Adamsen,dk DEN,"FW,MF",Silkeborg,28,1994,20.9,5,60,23,38.3,2.87,1.10,0.08,0.22,,0,0,Matches
Aske Adelgaard,dk DEN,DF,Odense,19,2003,11.2,0,8,1,12.5,0.71,0.09,0.00,0.00,,0,0,Matches
Jeffrey Adjei-Broni,dk DEN,FW,Hvidovre IF,19,2004,9.8,1,8,4,50.0,0.81,0.41,0.13,0.25,,0,0,Matches
Martin Agnarsson,fo FRO,DF,Viborg,19,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Ernest Agyiri,gh GHA,MF,Randers,25,1998,7.4,1,19,4,21.1,2.55,0.54,0.05,0.25,,0,0,Matches
Michael Akoto,de GER,DF,AGF,26,1997,4.5,0,1,0,0.0,0.22,0.00,0.00,,,0,0,Matches
Raúl Albentosa,es ESP,DF,Vejle BK,34,1988,29.9,2,12,4,33.3,0.40,0.13,0.17,0.50,,0,0,Matches
Miiko Albornoz,cl CHI,MF,Vejle BK,32,1990,20.2,0,8,2,25.0,0.40,0.10,0.00,0.00,,0,0,Matches
Mads Albæk,dk DEN,MF,Randers,33,1990,3.8,0,7,1,14.3,1.84,0.26,0.00,0.00,,0,0,Matches
Jonathan Amon,us USA,"FW,MF",Lyngby,24,1999,10.4,0,27,9,33.3,2.60,0.87,0.00,0.00,,0,0,Matches
Jacob Andersen,dk DEN,MF,AGF,19,2004,9.3,0,5,3,60.0,0.54,0.32,0.00,0.00,,0,0,Matches
Mikael Anderson,is ISL,"MF,FW",AGF,25,1998,26.9,1,54,22,40.7,2.01,0.82,0.00,0.00,,1,1,Matches
Hugo Andersson,se SWE,DF,Randers,24,1999,10.1,1,8,3,37.5,0.79,0.30,0.13,0.33,,0,0,Matches
Joel Andersson,se SWE,MF,Midtjylland,26,1996,2.8,0,2,1,50.0,0.73,0.36,0.00,0.00,,0,0,Matches
Mathias Andreasen,dk DEN,FW,Hvidovre IF,19,2003,2.4,0,3,0,0.0,1.25,0.00,0.00,,,0,0,Matches
Valdemar Andreasen,dk DEN,MF,Midtjylland,18,2005,0.9,0,3,2,66.7,3.46,2.31,0.00,0.00,,0,0,Matches
Tobias Anker,dk DEN,DF,AGF,22,2001,4.2,2,3,2,66.7,0.72,0.48,0.67,1.00,,0,0,Matches
