Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches


Rodrigo Abascal,uy URU,DF,Boavista,29,1994,27.5,2,12,4,33.3,0.44,0.15,0.17,0.50,22.3,4,0,0,1.4,1.4,0.12,+0.6,+0.6,Matches
Antonio Adán,es ESP,GK,Sporting CP,36,1987,22.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dennis Adeniran,eng ENG,MF,Portimonense,24,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Martin Agirregabiria,es ESP,DF,Famalicão,27,1996,13.4,0,4,1,25.0,0.30,0.07,0.00,0.00,27.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Salvador Agra,pt POR,"FW,DF",Boavista,31,1991,27.3,3,27,10,37.0,0.99,0.37,0.11,0.30,23.9,6,0,0,2.3,2.3,0.08,+0.7,+0.7,Matches
Matheus Aiás,br BRA,"FW,MF",Moreirense,26,1996,5.3,2,15,7,46.7,2.83,1.32,0.13,0.29,18.5,1,0,0,1.9,1.9,0.13,+0.1,+0.1,Matches
Alan,br BRA,MF,Moreirense,23,2000,27.3,3,46,13,28.3,1.69,0.48,0.07,0.23,23.9,8,0,1,3.9,3.1,0.07,-0.9,-0.1,Matches
Rafael Alcobia,pt POR,DF,Portimonense,20,2003,2.3,0,1,0,0.0,0.44,0.00,0.00,,22.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Alemão,br BRA,DF,Portimonense,20,2002,26.3,2,10,3,30.0,0.38,0.11,0.20,0.67,13.5,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Matches
Ali Alipour,ir IRN,FW,Gil Vicente FC,27,1995,8.9,2,13,3,23.1,1.46,0.34,0.08,0.33,14.4,0,1,1,2.7,1.9,0.15,-0.7,-0.9,Matches
Almeida,br BRA,DF,Estrela,23,2000,5.4,0,1,0,0.0,0.19,0.00,0.00,,26.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Pedro Álvaro,pt POR,DF,Estoril,23,2000,19.9,0,9,2,22.2,0.45,0.10,0.00,0.00,12.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Pedro Amador,pt POR,DF,Moreirense,24,1998,12.6,0,5,0,0.0,0.40,0.00,0.00,,27.7,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Artur Jorge Marques Amorim,pt POR,DF,Farense,28,1994,5.5,0,3,1,33.3,0.55,0.18,0.00,0.00,9.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
André André,pt POR,MF,Vitória,33,1989,7.3,0,7,1,14.3,0.96,0.14,0.00,0.00,20.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
