Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Kurt Abrahams,za RSA,"FW,MF",Novi Pazar,26,1996,0.6,0,,,,,,,,,0,0,Matches
Sadick Abubakar,gh GHA,DF,Radnik Surdulica,25,1998,23.8,0,,,,,,,,,0,0,Matches
Miloš Adamović,rs SRB,"DF,MF",Javor Ivanjica,35,1988,0.6,0,,,,,,,,,0,0,Matches
Edmund Addo,gh GHA,MF,Radnički Niš,23,2000,12.7,0,,,,,,,,,0,0,Matches
Adetunji Adeshina,ng NGA,MF,Novi Pazar,18,2004,21.2,5,,,,,,,,,0,0,Matches
Sunday Adetunji,ng NGA,FW,Čukarički,25,1997,5.3,1,,,,,,,,,0,0,Matches
Emmanuel Adimchukwunobi,ng NGA,MF,FK IMT Novi Beograd,17,2005,0.0,0,,,,,,,,,0,0,Matches
Bojan Adžić,me MNE,DF,Radnički Kragujevac,19,2003,12.0,0,,,,,,,,,0,0,Matches
Luka Adžić,rs SRB,MF,Čukarički,24,1998,18.1,6,,,,,,,,,1,1,Matches
Matteo Ahlinvi,bj BEN,MF,Čukarički,24,1999,0.7,0,,,,,,,,,0,0,Matches
Edin Ajdinović,rs SRB,MF,FK IMT Novi Beograd,22,2001,0.5,0,,,,,,,,,0,0,Matches
Milan Aleksić,rs SRB,FW,Radnički Kragujevac,17,2005,16.8,2,,,,,,,,,0,0,Matches
Ognjen Alempijevic,rs SRB,FW,Mladost Lučani,16,2007,1.2,0,,,,,,,,,0,0,Matches
Nikola Andrić,rs SRB,DF,Novi Pazar,31,1992,5.6,0,,,,,,,,,0,0,Matches
Nikola Andrić,rs SRB,DF,Mladost Lučani,31,1992,6.0,0,,,,,,,,,0,0,Matches
Nikola Andrić,rs SRB,MF,Mladost Lučani,23,2000,7.6,0,,,,,,,,,0,0,Matches
Ebenezer Annan,gh GHA,DF,Novi Pazar,20,2002,26.5,0,,,,,,,,,0,0,Matches
Izuchuckwu Anthony,ng NGA,"DF,FW",Radnički Kragujevac,25,1997,7.0,0,,,,,,,,,0,0,Matches
Nikola Antić,rs SRB,DF,Partizan,29,1994,34.7,0,,,,,,,,,0,0,Matches
Goran Antonić,rs SRB,DF,TSC Bačka Top,32,1990,21.6,1,,,,,,,,,0,0,Matches
Filip Antonijević,rs SRB,DF,Voždovac,23,2000,9.8,2,,,,,,,,,0,0,Matches
Jovan Anđelković,rs SRB,FW,Radnik Surdulica,19,2004,10.7,0,,,,,,,,,0,0,Matches
Veljko Arizanović,,DF,Radnik Surdulica,,,0.1,0,,,,,,,,,0,0,Matches
Željko Arsić,rs SRB,FW,FK IMT Novi Beograd,26,1997,3.0,0,,,,,,,,,0,0,Matches
Irakli Azarov,ge GEO,DF,Red Star,21,2002,0.2,0,,,,,,,,,0,0,Matches

Emir Azemović,me MNE,DF,Novi Pazar,26,1997,30.3,0,,,,,,,,,0,0,Matches
Ilija Babić,rs SRB,FW,Voždovac,20,2002,0.3,0,,,,,,,,,0,0,Matches
