Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Pape Abou Cissé,sn SEN,DF,Olympiacos,25,1995,25,22,"1,995",22.2,5,1,6,5,0,0,2,0,0.23,0.05,0.27,0.23,0.27,Matches
Daniel Adejo,ng NGA,DF,PAS Lamia,31,1989,25,24,"2,064",22.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Lumor Agbenyenu,gh GHA,"DF,MF",Aris,24,1996,10,5,515,5.7,0,1,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches
Chuba Akpom,eng ENG,FW,PAOK,25,1995,34,19,"1,773",19.7,7,3,10,7,0,0,4,0,0.36,0.15,0.51,0.36,0.51,Matches
Sotiris Alexandropoulos,gr GRE,MF,Panathinaikos,19,2001,29,17,"1,589",17.7,1,1,2,1,0,0,6,0,0.06,0.06,0.11,0.06,0.11,Matches
Nikolai Alho,fi FIN,DF,Volos NFC,28,1993,15,15,"1,280",14.2,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches
Sudais Ali Baba,ng NGA,FW,Asteras Tripoli,20,2000,4,0,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Denis Alibec,ro ROU,"FW,MF",Atromitos,30,1991,13,5,533,5.9,2,1,3,2,0,0,1,1,0.34,0.17,0.51,0.34,0.51,Matches
Federico Álvarez,ar ARG,DF,Asteras Tripoli,26,1994,30,26,"2,432",27.0,0,7,7,0,0,0,5,0,0.00,0.26,0.26,0.00,0.26,Matches
Bruno Alves,pt POR,DF,Apollon Smyrnis,39,1981,19,19,"1,602",17.8,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
Rodrigo Alves Soares,br BRA,DF,PAOK,28,1992,8,4,437,4.9,0,1,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches
Nordin Amrabat,ma MAR,"MF,FW",AEK Athens,34,1987,29,23,"2,059",22.9,6,3,9,3,3,4,7,0,0.26,0.13,0.39,0.13,0.26,Matches
Fatjon Andoni,al ALB,MF,Apollon Smyrnis,30,1991,25,23,"1,911",21.2,2,0,2,1,1,1,13,1,0.09,0.00,0.09,0.05,0.05,Matches
Thanasis Androutsos,gr GRE,"DF,MF",Olympiacos,24,1997,15,6,713,7.9,0,1,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches
Giannis Anestis,gr GRE,GK,Panetolikos,30,1991,13,13,"1,170",13.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
José Ángel Crespo,es ESP,DF,PAOK,34,1987,11,10,903,10.0,1,0,1,1,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches
Karim Ansarifard,ir IRN,FW,AEK Athens,31,1990,29,8,918,10.2,4,1,5,4,0,0,5,0,0.39,0.10,0.49,0.39,0.49,Matches
