Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Amir Abdijanovic,at AUT,"FW,MF",SCR Altach,21,2001,20,9,805,8.9,1,0,1,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches
Junior Adamu,at AUT,FW,RB Salzburg,21,2001,28,13,"1,283",14.3,10,3,13,10,0,0,2,1,0.70,0.21,0.91,0.70,0.91,Matches
Adriel,br BRA,"DF,MF",SC Austria Lustenau,25,1997,20,10,930,10.3,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
David Affengruber,at AUT,DF,Sturm Graz,21,2001,27,21,"1,922",21.4,4,1,5,4,0,0,8,1,0.19,0.05,0.23,0.19,0.23,Matches
Lawrence Agyekum,gh GHA,"MF,FW",RB Salzburg,18,2003,3,2,197,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sebastian Aigner,at AUT,"MF,DF",SCR Altach,21,2001,17,4,696,7.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Albian Ajeti,ch SUI,FW,Sturm Graz,25,1997,15,8,664,7.4,3,1,4,3,0,0,3,0,0.41,0.14,0.54,0.41,0.54,Matches
Pape Alioune Ndiaye,fr FRA,DF,SCR Altach,24,1998,7,4,388,4.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Eylon Almog,il ISR,"MF,FW",Hartberg,23,1999,9,5,364,4.0,1,1,2,1,0,0,1,0,0.25,0.25,0.49,0.25,0.49,Matches
Anderson,br BRA,"MF,DF",SC Austria Lustenau,24,1998,29,29,"2,351",26.1,5,7,12,5,0,0,7,1,0.19,0.27,0.46,0.19,0.46,Matches
Matteo Anzolin,it ITA,"DF,MF",Wolfsberger AC,21,2000,19,18,"1,525",16.9,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
Jonas Arweiler,de GER,FW,SK Austria Klagenfurt,25,1997,20,0,465,5.2,3,0,3,3,0,0,0,0,0.58,0.00,0.58,0.58,0.58,Matches
Jonas Auer,at AUT,DF,Rapid Wien,21,2000,28,25,"2,339",26.0,0,6,6,0,0,0,7,0,0.00,0.23,0.23,0.00,0.23,Matches
Donis Avdijaj,xk KVX,"MF,FW",Hartberg,25,1996,16,15,"1,232",13.7,7,3,10,6,1,1,3,0,0.51,0.22,0.73,0.44,0.66,Matches
Okan Aydın,tr TUR,"MF,FW",Hartberg,28,1994,14,12,950,10.6,3,0,3,3,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches
Felix Bacher,at AUT,DF,WSG Tirol,21,2000,30,29,"2,538",28.2,1,1,2,1,0,0,6,2,0.04,0.04,0.07,0.04,0.07,Matches
Mike-Steven Bähre,de GER,MF,SCR Altach,26,1995,7,5,481,5.3,1,0,1,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches
