Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches


Leroy Abanda,fr FRA,"DF,MF",R.F.C. Seraing,22,2000,17,6,686,7.6,0,0,0,0,0,0,2,0,0.3,0.3,1.0,1.3,11,19,43,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.16,0.03,0.16,Matches
Francis Abu,gh GHA,MF,Cercle Brugge,21,2001,26,16,"1,646",18.3,1,3,4,1,0,0,4,0,0.9,0.9,2.1,3.0,10,89,19,0.05,0.16,0.22,0.05,0.22,0.05,0.12,0.16,0.05,0.16,Matches
Simon Adingra,ci CIV,"DF,FW",Union SG,20,2002,30,20,"1,905",21.2,10,8,18,10,0,0,1,1,5.4,5.4,5.0,10.4,102,56,207,0.47,0.38,0.85,0.47,0.85,0.26,0.24,0.49,0.26,0.49,Matches
Brian Agbor,cm CMR,"DF,MF",Gent,21,2001,3,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Enock Agyei,be BEL,"FW,MF",Mechelen,17,2005,8,3,334,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,13,10,21,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.08,0.04,0.08,Matches
Halil Akbunar,tr TUR,"MF,FW",Westerlo,28,1993,14,9,761,8.5,2,1,3,2,0,0,3,0,1.5,1.5,0.5,2.0,25,36,80,0.24,0.12,0.35,0.24,0.35,0.18,0.06,0.24,0.18,0.24,Matches
Alessandro Albanese,be BEL,"MF,DF",Oostende,22,2000,11,6,562,6.2,0,0,0,0,0,0,3,2,0.8,0.8,1.0,1.8,21,33,53,0.00,0.00,0.00,0.00,0.00,0.13,0.16,0.29,0.13,0.29,Matches
Toby Alderweireld,be BEL,DF,Antwerp,33,1989,30,30,"2,700",30.0,5,2,7,3,2,2,5,0,3.7,2.1,1.1,3.2,17,122,3,0.17,0.07,0.23,0.10,0.17,0.12,0.04,0.16,0.07,0.11,Matches
Alfonso,mz MOZ,MF,Oostende,22,1999,20,15,"1,297",14.4,0,0,0,0,0,0,4,0,0.3,0.3,0.4,0.7,9,69,17,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Teddy Alloh,fr FRA,DF,Eupen,20,2002,10,5,362,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,7,7,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
