Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches


Rodrigo Abascal,uy URU,DF,Boavista,28,1994,27,27,"2,294",25.5,0,2,2,0,0,0,7,1,0.8,0.8,1.1,1.9,10,78,13,0.00,0.08,0.08,0.00,0.08,0.03,0.04,0.07,0.03,0.07,Matches
Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,27,1995,27,18,"1,608",17.9,0,1,1,0,0,0,6,0,0.5,0.5,1.5,2.0,33,113,37,0.00,0.06,0.06,0.00,0.06,0.03,0.08,0.11,0.03,0.11,Matches
Elias Achouri,tn TUN,MF,Estoril,23,1999,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Antonio Adán,es ESP,GK,Sporting CP,35,1987,31,31,"2,789",31.0,0,1,1,0,0,0,5,1,0.2,0.2,0.1,0.4,0,0,0,0.00,0.03,0.03,0.00,0.03,0.01,0.00,0.01,0.01,0.01,Matches
Adriano,br BRA,"MF,DF",Santa Clara,22,1999,31,27,"2,205",24.5,1,1,2,1,0,0,8,0,0.8,0.8,0.9,1.8,16,83,17,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07,Matches
João Afonso Crispim,br BRA,MF,Marítimo,27,1995,24,18,"1,465",16.3,0,0,0,0,0,0,10,1,0.2,0.2,0.2,0.4,3,63,8,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches
Lucas Áfrico,br BRA,DF,Estoril,27,1995,6,4,354,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Martin Agirregabiria,es ESP,"DF,FW",Famalicão,26,1996,17,2,402,4.5,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,10,14,14,0.00,0.22,0.22,0.00,0.22,0.00,0.04,0.04,0.00,0.04,Matches
Salvador Agra,pt POR,"FW,MF",Boavista,30,1991,30,20,"1,651",18.3,3,4,7,3,0,0,6,0,1.4,1.4,3.5,4.9,46,59,132,0.16,0.22,0.38,0.16,0.38,0.08,0.19,0.27,0.08,0.27,Matches
Mohamed Aidara,ci CIV,"DF,FW",Vizela,25,1996,6,1,242,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
