Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Rayane Aabid,fr FRA,MF,Hatayspor,30,1992,21,14,"1,327",14.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Patrick van Aanholt,nl NED,DF,Galatasaray,31,1990,10,9,805,8.9,0,2,2,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,Matches
Kristal Abazaj,al ALB,MF,İstanbulspor,26,1996,5,2,185,2.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Vincent Aboubakar,cm CMR,FW,Beşiktaş,30,1992,16,15,"1,315",14.6,13,2,15,11,2,2,3,0,0.89,0.14,1.03,0.75,0.89,Matches
Yaw Ackah,gh GHA,MF,Kayserispor,23,1999,15,4,426,4.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Sam Adekugbe,ca CAN,DF,Hatayspor,27,1995,18,16,"1,369",15.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Sam Adekugbe,ca CAN,DF,Galatasaray,27,1995,6,6,512,5.7,0,1,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches
Luiz Adriano,br BRA,"MF,FW",Antalyaspor,35,1987,19,15,"1,180",13.1,2,1,3,2,0,1,2,1,0.15,0.08,0.23,0.15,0.23,Matches
Samet Akaydın,tr TUR,DF,Fenerbahçe,28,1994,17,17,"1,514",16.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Samet Akaydın,tr TUR,DF,Adana Demirspor,28,1994,16,16,"1,416",15.7,2,0,2,2,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches
Emre Akbaba,tr TUR,"MF,FW",Adana Demirspor,29,1992,27,22,"1,719",19.1,7,4,11,7,0,0,3,0,0.37,0.21,0.58,0.37,0.58,Matches
Emre Akbaba,tr TUR,MF,Galatasaray,29,1992,5,3,173,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ümit Akdag,ro ROU,DF,Alanyaspor,18,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yunus Akgün,tr TUR,MF,Galatasaray,22,2000,25,10,"1,017",11.3,1,2,3,1,0,0,1,0,0.09,0.18,0.27,0.09,0.27,Matches
Babajide Akintola,ng NGA,MF,Adana Demirspor,26,1996,29,21,"1,632",18.1,6,1,7,6,0,0,3,1,0.33,0.06,0.39,0.33,0.39,Matches
Gökhan Akkan,tr TUR,GK,Ankaragücü,27,1995,23,23,"2,011",22.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Hamza Akman,tr TUR,MF,Galatasaray,17,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
