Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Ayoub Abou,ma MAR,MF,Pirin Blagoevgrad,25,1998,33,30,"2,555",28.4,0,,,0,0,0,10,1,0.00,,,0.00,,Matches
Martin Achkov,bg BUL,DF,Botev Vratsa,24,1999,14,14,"1,203",13.4,1,,,1,0,0,5,0,0.07,,,0.07,,Matches
Oktay Ahmedov Hamdiev,bg BUL,FW,PFC Hebar Pazardzhik,23,2000,9,5,442,4.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Samuel Akere,ng NGA,FW,Botev Plovdiv,19,2004,31,29,"2,357",26.2,4,,,4,0,0,5,0,0.15,,,0.15,,Matches
Temitope Akinjogunla,fr FRA,DF,Beroe,20,2002,5,3,219,2.4,0,,,0,0,0,2,0,0.00,,,0.00,,Matches
Denislav Aleksandrov,bg BUL,MF,Slavia Sofia,26,1997,19,12,"1,092",12.1,2,,,1,1,1,6,0,0.16,,,0.08,,Matches
Georgi Aleksandrov,bg BUL,DF,Etar,22,2001,31,22,"1,995",22.2,0,,,0,0,0,6,2,0.00,,,0.00,,Matches
Simeon Aleksandrov,bg BUL,FW,Pirin Blagoevgrad,19,2003,12,2,440,4.9,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Carlos Algarra,es ESP,MF,Beroe,23,2000,14,14,"1,213",13.5,0,,,0,0,0,8,0,0.00,,,0.00,,Matches
Dzhuinet Ali,bg BUL,DF,FK Levski 2005,28,1994,28,17,"1,784",19.8,2,,,2,0,0,6,1,0.10,,,0.10,,Matches
Efe Ali,bg BUL,MF,Loko Plovdiv,20,2003,21,13,"1,150",12.8,1,,,1,0,0,5,0,0.08,,,0.08,,Matches
Dinis Almeida,pt POR,DF,Ludogorets,28,1995,11,10,900,10.0,1,,,1,0,0,3,0,0.10,,,0.10,,Matches
Oussama Alou,nl NED,MF,Etar,21,2002,3,0,139,1.5,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Pablo Álvarez,es ESP,MF,Cherno More,26,1997,30,29,"2,496",27.7,3,,,2,1,1,7,0,0.11,,,0.07,,Matches
Felipe Alves,br BRA,MF,Lokomotiv Sofia,26,1997,2,2,129,1.4,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Ivan Andonov,bg BUL,GK,Levski Sofia,19,2003,2,2,180,2.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Petar Andreev,bg BUL,MF,Loko Plovdiv,19,2004,29,3,496,5.5,5,,,5,0,0,5,0,0.91,,,0.91,,Matches
Plamen Andreev,bg BUL,GK,Levski Sofia,18,2004,30,29,"2,686",29.8,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Antoni Angelov,bg BUL,DF,Etar,16,2007,1,1,45,0.5,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Denislav Angelov,bg BUL,FW,Etar,22,2001,4,1,119,1.3,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
