Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Jonas Abbew,dk DEN,DF,Nordsjælland,21,2002,3,2,194,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jonas Abbew,dk DEN,DF,AGF,21,2002,7,7,578,6.4,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches
Malik Abubakari,gh GHA,FW,Viborg,23,2000,13,1,343,3.8,2,0,2,2,0,0,1,0,0.52,0.00,0.52,0.52,0.52,Matches
Elias Achouri,tn TUN,"FW,MF",FC Copenhagen,24,1999,28,25,"2,100",23.3,4,14,18,4,0,0,7,0,0.17,0.60,0.77,0.17,0.77,Matches
Tonni Adamsen,dk DEN,"FW,MF",Silkeborg,28,1994,28,20,"1,881",20.9,5,7,12,5,0,0,2,0,0.24,0.33,0.57,0.24,0.57,Matches
Aske Adelgaard,dk DEN,DF,Odense,19,2003,18,13,"1,007",11.2,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches
Jeffrey Adjei-Broni,dk DEN,FW,Hvidovre IF,19,2004,23,7,884,9.8,1,1,2,1,0,0,3,0,0.10,0.10,0.20,0.10,0.20,Matches
Martin Agnarsson,fo FRO,DF,Viborg,19,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ernest Agyiri,gh GHA,MF,Randers,25,1998,20,7,670,7.4,1,2,3,1,0,0,0,0,0.13,0.27,0.40,0.13,0.40,Matches
Michael Akoto,de GER,DF,AGF,26,1997,11,5,401,4.5,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches
Raúl Albentosa,es ESP,DF,Vejle BK,34,1988,30,30,"2,689",29.9,2,2,4,2,0,0,11,0,0.07,0.07,0.13,0.07,0.13,Matches
Miiko Albornoz,cl CHI,MF,Vejle BK,32,1990,25,22,"1,814",20.2,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches
Mads Albæk,dk DEN,MF,Randers,33,1990,15,2,343,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jonathan Amon,us USA,"FW,MF",Lyngby,24,1999,25,10,935,10.4,0,2,2,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches
Jacob Andersen,dk DEN,MF,AGF,19,2004,19,9,838,9.3,0,1,1,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches
Mikael Anderson,is ISL,"MF,FW",AGF,25,1998,30,27,"2,421",26.9,1,3,4,0,1,1,5,0,0.04,0.11,0.15,0.00,0.11,Matches
Hugo Andersson,se SWE,DF,Randers,24,1999,17,9,913,10.1,1,1,2,1,0,0,3,0,0.10,0.10,0.20,0.10,0.20,Matches
Joel Andersson,se SWE,MF,Midtjylland,26,1996,9,1,248,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
