Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Dawid Abramowicz,pl POL,DF,Radomiak Radom,32,1991,34,34,"3,060",34.0,2,3,5,2,0,0,3,0,0.06,0.09,0.15,0.06,0.15,Matches
Zlatan Alomerović,de GER,GK,Jagiellonia,32,1991,34,34,"3,060",34.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Fran Álvarez,es ESP,MF,Widzew Łódź,25,1998,28,26,"2,233",24.8,6,4,10,6,0,0,6,0,0.24,0.16,0.40,0.24,0.40,Matches
Roberto Alves,ch SUI,MF,Radomiak Radom,26,1997,7,4,421,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Michael Ameyaw,pl POL,MF,Piast Gliwice,22,2000,32,31,"2,636",29.3,6,3,9,6,0,0,5,0,0.20,0.10,0.31,0.20,0.31,Matches
Elias Andersson,se SWE,DF,Lech Poznań,27,1996,23,16,"1,586",17.6,0,3,3,0,0,0,5,0,0.00,0.17,0.17,0.00,0.17,Matches
Dawid Arndt,pl POL,GK,Łódzki KS,21,2001,7,7,630,7.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Zoran Arsenić,hr CRO,DF,RKS Raków,29,1994,16,13,"1,033",11.5,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
Jani Atanasov,mk MKD,MF,Cracovia,23,1999,32,24,"2,012",22.4,5,2,7,4,1,1,7,0,0.22,0.09,0.31,0.18,0.27,Matches
Rafał Augustyniak,pl POL,"DF,MF",Legia Warsaw,29,1993,22,21,"1,882",20.9,1,1,2,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,Matches
Daniel Bak,pl POL,FW,Korona Kielce,17,2005,5,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mateusz Bąkowicz,pl POL,DF,Łódzki KS,22,2001,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Krzysztof Bąkowski,pl POL,GK,Radomiak Radom,20,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Makana Baku,de GER,MF,Legia Warsaw,25,1998,7,5,494,5.5,1,0,1,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches
Husein Balic,at AUT,"MF,FW",Łódzki KS,27,1996,13,13,"1,058",11.8,3,0,3,3,0,0,2,0,0.26,0.00,0.26,0.26,0.26,Matches
Paweł Baranowski,pl POL,DF,Ruch Chorzów,32,1990,6,4,351,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Bartłomiej Barański,pl POL,FW,Ruch Chorzów,16,2006,7,1,314,3.5,1,0,1,1,0,0,1,0,0.29,0.00,0.29,0.29,0.29,Matches
