Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Kurt Abrahams,za RSA,"FW,MF",Novi Pazar,26,1996,3,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sadick Abubakar,gh GHA,DF,Radnik Surdulica,25,1998,25,24,"2,145",23.8,0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,Matches
Miloš Adamović,rs SRB,"DF,MF",Javor Ivanjica,35,1988,2,1,54,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Edmund Addo,gh GHA,MF,Radnički Niš,23,2000,15,14,"1,142",12.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Adetunji Adeshina,ng NGA,MF,Novi Pazar,18,2004,27,24,"1,904",21.2,5,1,6,5,0,0,7,1,0.24,0.05,0.28,0.24,0.28,Matches
Sunday Adetunji,ng NGA,FW,Čukarički,25,1997,11,5,481,5.3,1,1,2,1,0,0,2,0,0.19,0.19,0.37,0.19,0.37,Matches
Emmanuel Adimchukwunobi,ng NGA,MF,FK IMT Novi Beograd,17,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bojan Adžić,me MNE,DF,Radnički Kragujevac,19,2003,16,12,"1,083",12.0,0,2,2,0,0,0,5,0,0.00,0.17,0.17,0.00,0.17,Matches
Luka Adžić,rs SRB,MF,Čukarički,24,1998,31,23,"1,631",18.1,6,7,13,5,1,1,2,0,0.33,0.39,0.72,0.28,0.66,Matches
Matteo Ahlinvi,bj BEN,MF,Čukarički,24,1999,3,0,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Edin Ajdinović,rs SRB,MF,FK IMT Novi Beograd,22,2001,2,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Milan Aleksić,rs SRB,FW,Radnički Kragujevac,17,2005,25,16,"1,514",16.8,2,7,9,2,0,0,2,0,0.12,0.42,0.54,0.12,0.54,Matches
Ognjen Alempijevic,rs SRB,FW,Mladost Lučani,16,2007,2,1,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikola Andrić,rs SRB,DF,Novi Pazar,31,1992,7,4,500,5.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikola Andrić,rs SRB,DF,Mladost Lučani,31,1992,6,6,540,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikola Andrić,rs SRB,MF,Mladost Lučani,23,2000,8,8,688,7.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ebenezer Annan,gh GHA,DF,Novi Pazar,20,2002,30,28,"2,389",26.5,0,2,2,0,0,0,6,2,0.00,0.08,0.08,0.00,0.08,Matches
